written by TR 
1.000000000 
19.230041500 0.000000000 0.000000000 
0.000000000 33.333652500 0.000000000 
0.000000000 0.000000000 18.353351600 
Type1 
488
Cartesian 
0.63026620 32.05731200 7.47919470 
0.47272580 29.59847640 7.47955280 
0.31458130 27.13969800 7.48018310 
0.15770810 24.68103410 7.48087500 
0.00009207 22.22162630 7.48085930 
2.83713180 33.15010070 7.47932250 
2.04899310 31.96767440 7.47918470 
2.67974980 30.69113160 7.47947120 
1.89080800 29.50889780 7.47946790 
2.52146010 28.23222160 7.48000100 
1.73358440 27.05023380 7.48008540 
2.36450100 25.77369690 7.48044400 
1.57582490 24.59107020 7.48065380 
2.20672970 23.31515690 7.48073910 
1.41875240 22.13231090 7.48083020 
2.04995630 20.85649120 7.48067100 
1.26096440 19.67346380 7.48060560 
1.89192300 18.39737700 7.48041060 
1.10324930 17.21465490 7.48048500 
1.73441160 15.93835360 7.48056990 
0.94521460 14.75542360 7.48074010 
1.57620910 13.47899530 7.48073630 
0.78787320 12.29608060 7.48088120 
1.41889670 11.01961990 7.48088460 
0.63021840 9.83692740 7.48097180 
1.26118050 8.56043720 7.48053270 
0.47336090 7.37805130 7.48049980 
1.10401680 6.10136700 7.47994950 
0.31559930 4.91892720 7.47987230 
0.94614200 3.64209130 7.47954660 
0.15790620 2.45995670 7.47935440 
0.78873260 1.18298190 7.47905300 
-0.00014219 0.00065918 7.47897150 
4.25551940 33.06055450 7.47979500 
4.88661380 31.78379440 7.47986030 
4.09759330 30.60120590 7.47972630 
4.72850800 29.32530600 7.48012070 
3.94015380 28.14276890 7.48016600 
4.57132060 26.86690900 7.48042110 
3.78244900 25.68399810 7.48046880 
4.41358810 24.40808300 7.48052030 
3.62530570 23.22546770 7.48051840 
4.25635720 21.94933900 7.48046930 
3.46750570 20.76654060 7.48046020 
4.09850930 19.49032020 7.48005960 
3.31021240 18.30762480 7.48010260 
3.94101360 17.03133390 7.48003720 
3.15188000 15.84875980 7.48020460 
3.78268080 14.57219600 7.48025040 
2.99455960 13.38950160 7.48057940 
3.62528760 12.11289690 7.48051930 
2.83684920 10.93025980 7.48062610 
3.46737240 9.65342330 7.48065660 
2.67996840 8.47068690 7.48072910 
3.31047560 7.19390580 7.48033140 
2.52211380 6.01158480 7.48021990 
3.15274020 4.73472500 7.47986080 
2.36489580 3.55219410 7.47971110 
2.99553540 2.27528530 7.47956040 
2.20649530 1.09314850 7.47926860 
7.09348150 32.87693020 7.48030000 
6.30490070 31.69437790 7.48016260 
6.93598600 30.41840360 7.48049690 
6.14687400 29.23564910 7.48045350 
6.77782440 27.95941740 7.48051260 
5.98962120 26.77667050 7.48061800 
6.62086820 25.50070190 7.48063040 
5.83204030 24.31798750 7.48055750 
6.46310380 23.04190060 7.48018220 
5.67483330 21.85935980 7.48015310 
6.30581860 20.58323670 7.47970010 
5.51693250 19.40069390 7.47970350 
6.14771220 18.12416080 7.47959470 
5.35873510 16.94171520 7.47968290 
5.99014620 15.66499810 7.47952940 
5.20122960 14.48257930 7.47981260 
5.83170420 13.20569800 7.47995810 
5.04313560 12.02321050 7.48023890 
5.67448090 10.74640940 7.48041160 
4.88632160 9.56391240 7.48055220 
5.51664590 8.28706170 7.48055600 
4.72859390 7.10443020 7.48059180 
5.35944180 5.82777070 7.48062520 
4.57154230 4.64532660 7.48029710 
5.20210550 3.36826330 7.48011400 
4.41321180 2.18570970 7.47981310 
5.04398060 0.90914240 7.47989370 
8.51173590 32.78738410 7.48053170 
9.14245700 31.51138880 7.48067620 
8.35339450 30.32869720 7.48067330 
8.98445220 29.05261420 7.48091650 
8.19644070 27.86979680 7.48092890 
8.82717140 26.59360320 7.48078160 
8.03863910 25.41080670 7.48073530 
8.66943080 24.13442040 7.48040250 
7.88172780 22.95175180 7.48028570 
8.51251410 21.67528920 7.47964290 
7.72366340 20.49309920 7.47952460 
8.35439590 19.21653560 7.47919130 
7.56629420 18.03421780 7.47919660 
8.19697190 16.75736810 7.47918850 
7.40791560 15.57531740 7.47920180 
8.03849320 14.29833320 7.47946790 
7.25053980 13.11604020 7.47952890 
7.88102160 11.83908280 7.47992470 
7.09261940 10.65674980 7.48012310 
7.72298720 9.37998200 7.48041820 
6.93556640 8.19751740 7.48055990 
7.56632140 6.92078980 7.48072960 
6.77790410 5.73802620 7.48066670 
7.40856790 4.46136430 7.48070150 
6.62051200 3.27876240 7.48055030 
7.25136380 2.00250960 7.48046970 
6.46231180 0.81982800 7.48017360 
11.34923080 32.60498430 7.48057940 
10.56016450 31.42222030 7.48075010 
11.19167520 30.14577480 7.48073820 
10.40300750 28.96282400 7.48089270 
11.03360460 27.68629840 7.48089220 
10.24512480 26.50366020 7.48097760 
10.87663460 25.22724150 7.48052890 
10.08841510 24.04468540 7.48051980 
10.71888640 22.76805120 7.47995570 
9.93050100 21.58560560 7.47986560 
10.56126790 20.30886650 7.47955280 
9.77295400 19.12676810 7.47936820 
10.40368840 17.84971440 7.47907590 
9.61460210 16.66751290 7.47898060 
10.24528890 15.39051630 7.47918700 
9.45687960 14.20847040 7.47933060 
10.08766560 12.93165600 7.47954900 
9.29897310 11.74931050 7.47969110 
9.92962360 10.47277550 7.48017460 
9.14173220 9.29033190 7.48031330 
9.77259260 8.01389690 7.48086550 
8.98415180 6.83120730 7.48082020 
9.61489580 5.55487210 7.48085170 
8.82681470 4.37177280 7.48079210 
9.45776750 3.09582570 7.48085410 
8.66888430 1.91289840 7.48077820 
9.29993630 0.63691760 7.48065140 
12.76759630 32.51555250 7.48019890 
13.39831540 31.23892400 7.48025660 
12.60938170 30.05630300 7.48058040 
13.24007700 28.77968410 7.48052460 
12.45252900 27.59691620 7.48063380 
13.08301070 26.32005880 7.48066520 
12.29473400 25.13753320 7.48073580 
12.92510140 23.86067780 7.48034770 
12.13770390 22.67831040 7.48022800 
12.76836300 21.40137860 7.47988890 
11.97976600 20.21899800 7.47972010 
12.61038400 18.94207580 7.47956370 
11.82200820 17.75995640 7.47927910 
12.45287040 16.48307230 7.47932150 
11.66372210 15.30073170 7.47917890 
12.29452710 14.02395150 7.47946500 
11.50610350 12.84181980 7.47946170 
12.13695050 11.56545450 7.47999380 
11.34824940 10.38277340 7.48006350 
11.97918320 9.10677050 7.48043440 
11.19105150 7.92408380 7.48064570 
11.82215310 6.64819480 7.48071010 
11.03337670 5.46534020 7.48082070 
11.66452410 4.18900010 7.48066670 
10.87601960 3.00663850 7.48060990 
11.50728710 1.73037320 7.48040340 
10.71831990 0.54745600 7.48047930 
15.60494810 32.33190920 7.47953560 
14.81586080 31.14934920 7.47981980 
15.44672490 29.87246320 7.47996570 
14.65849310 28.69001200 7.48024320 
15.28927040 27.41310500 7.48043110 
14.50095560 26.23059460 7.48055560 
15.13157560 24.95380980 7.48056410 
14.34391790 23.77128990 7.48059470 
14.97458660 22.49448970 7.48063330 
14.18620010 21.31201750 7.48030520 
14.81679730 20.03498270 7.48012590 
14.02877240 18.85244940 7.47982080 
14.65935330 17.57572560 7.47989560 
13.87034240 16.39314840 7.47978790 
14.50114440 15.11698910 7.47986130 
13.71301370 13.93427760 7.47972060 
14.34362030 12.65833280 7.48009110 
13.55477910 11.47580050 7.48014260 
14.18585300 10.19948390 7.48040440 
13.39794920 9.01716040 7.48046210 
14.02897070 7.74096970 7.48052220 
13.24007990 6.55828670 7.48051120 
13.87112340 5.28252360 7.48046310 
13.08312420 4.09954550 7.48045970 
13.71399690 2.82366640 7.48005250 
