written by TR 
1.000000000 
14.961004400 0.000000000 0.000000000 
7.480502200 12.956609877 0.000000000 
0.000000000 0.000000000 18.391098000 
Type1 
148
Cartesian 
0.80941630 1.16643320 7.49609760 
-0.00073010 0.00143270 7.49599650 
3.23549610 4.67131760 7.49627500 
2.42564250 3.50608710 7.49621870 
3.03353480 2.21772240 7.49616910 
2.22311020 1.05294300 7.49612140 
5.66143090 8.17605020 7.49626070 
4.85166460 7.01104880 7.49629550 
5.45942740 5.72304630 7.49633740 
4.64947420 4.55775640 7.49630640 
5.25721550 3.26948810 7.49629790 
4.44717310 2.10397320 7.49623020 
5.05526210 0.81584270 7.49620200 
8.08761600 11.68079760 7.49607950 
7.27763460 10.51567650 7.49607610 
7.88546660 9.22747140 7.49619630 
7.07531980 8.06239130 7.49619100 
7.68307740 6.77446560 7.49632690 
6.87329480 5.60907410 7.49629600 
7.48117450 4.32127330 7.49635650 
6.67106580 3.15568830 7.49630450 
7.27940700 1.86771220 7.49632120 
6.46872430 0.70219950 7.49627260 
10.31179050 12.73202610 7.49611760 
9.50143440 11.56700900 7.49612520 
10.10966970 10.27892110 7.49615290 
9.29942900 9.11358930 7.49619200 
9.90722080 7.82567120 7.49626450 
9.09693340 6.66028600 7.49628690 
9.70519450 5.37264590 7.49632650 
8.89488600 4.20714050 7.49632840 
9.50301460 2.91944280 7.49628980 
8.69286920 1.75377940 7.49626640 
9.30111500 0.46588380 7.49628070 
11.72533420 12.61824990 7.49622870 
12.33354470 11.33027940 7.49620390 
11.52330590 10.16493030 7.49626540 
12.13138290 8.87710000 7.49625020 
11.32113550 7.71162420 7.49628550 
11.92914200 6.42390350 7.49627930 
11.11890600 5.25839620 7.49627020 
11.72703840 3.97064280 7.49620770 
10.91647720 2.80532080 7.49623020 
11.52462960 1.51745390 7.49615720 
10.71448140 0.35211090 7.49620250 
14.55757720 12.38171010 7.49630930 
13.74686720 11.21631720 7.49629690 
14.35529710 9.92854800 7.49632460 
13.54500390 8.76302440 7.49637130 
14.15312000 7.47525790 7.49631310 
13.34299280 6.30978390 7.49632890 
13.95103740 5.02190020 7.49621730 
13.14081290 3.85667600 7.49621680 
13.74852370 2.56852580 7.49609570 
12.93815240 1.40355960 7.49612290 
13.54644870 0.11536500 7.49605420 
-0.00069824 -0.00170790 10.89510160 
2.62898830 2.68860290 10.89495380 
2.02105190 1.40032850 10.89497860 
2.83110410 0.23520100 10.89498620 
4.44883920 6.54361440 10.89483180 
3.84084280 5.25595670 10.89481940 
4.65073350 4.09037260 10.89485080 
4.04271980 2.80233810 10.89483640 
4.85302700 1.63682730 10.89491280 
4.24463510 0.34880160 10.89487660 
6.26842310 10.39855960 10.89500520 
5.66020970 9.11053750 10.89488800 
6.47048430 7.94561400 10.89488800 
5.86252560 6.65779120 10.89477640 
6.67235660 5.49218700 10.89479360 
6.06437060 4.20424130 10.89473540 
6.87474400 3.03869250 10.89478880 
6.26653770 1.75086210 10.89480880 
7.07706590 0.58539860 10.89479540 
8.29006480 11.80070400 10.89500620 
7.68213660 10.51237010 10.89499100 
8.49213980 9.34760090 10.89494040 
7.88427080 8.05951690 10.89484980 
8.69421580 6.89425620 10.89481360 
8.08614060 5.60600330 10.89474780 
8.89637000 4.44062860 10.89477540 
8.28826910 3.15267680 10.89477260 
9.09863090 1.98724540 10.89480120 
8.49040700 0.69944900 10.89483080 
9.70374680 11.91430480 10.89498420 
10.51381210 10.74937250 10.89493080 
9.90590200 9.46101100 10.89488980 
10.71610360 8.29611300 10.89482980 
10.10829070 7.00777150 10.89477640 
10.91803260 5.84254120 10.89478680 
10.31013010 4.55439520 10.89479460 
11.12054830 3.38922910 10.89483940 
10.51222040 2.10115390 10.89487280 
11.32260130 0.93583600 10.89493000 
12.53579710 12.15115930 10.89490800 
11.92741020 10.86310680 10.89486800 
12.73784930 9.69788080 10.89480780 
12.13003830 8.40984540 10.89479640 
12.93969060 7.24444060 10.89477060 
12.33197880 5.95634800 10.89481080 
13.14205270 4.79126500 10.89484880 
12.53426170 3.50311070 10.89492800 
13.34422590 2.33802490 10.89497960 
12.73621370 1.04988500 10.89500340 
13.94924080 12.26509290 10.89483360 
14.75969030 11.09959030 10.89478600 
14.15154170 9.81179530 10.89480400 
14.35365390 7.35841660 10.89480780 
14.55587770 4.90517280 10.89491560 
14.75800520 2.45179150 10.89503580 
15.97098840 12.26769730 7.49627400 
16.57939690 10.97990240 7.49630790 
15.76885540 9.81457330 7.49633270 
16.37686410 8.52657420 7.49632980 
15.56688740 7.36129710 7.49635650 
16.17470300 6.07319500 7.49629070 
15.36472900 4.90797660 7.49625540 
15.97266750 3.61973980 7.49616340 
15.16235810 2.45484570 7.49611430 
18.80288720 12.03133960 7.49617150 
17.99283210 10.86595540 7.49623250 
18.60088580 9.57794190 7.49626690 
17.79059330 8.41296010 7.49631170 
18.39876810 7.12495850 7.49631930 
17.58871210 5.95975640 7.49633080 
20.21655290 11.91765600 7.49610190 
20.82469620 10.62925530 7.49612620 
20.01462710 9.46406940 7.49617340 
14.96159710 8.64622980 10.89474780 
15.16377280 6.19308950 10.89477840 
15.36579280 3.73998880 10.89491000 
15.56826630 1.28675840 10.89502140 
16.78145870 12.50144960 10.89481940 
16.17309290 11.21369650 10.89483840 
16.98357070 10.04812050 10.89481460 
16.37521080 8.76039980 10.89477640 
17.18560040 7.59490160 10.89477920 
16.57778650 6.30717660 10.89481740 
17.38808120 5.14181760 10.89484020 
16.77983830 3.85395040 10.89491280 
18.19484200 12.61544800 10.89490220 
19.00535500 11.45009420 10.89494800 
18.39726080 10.16203210 10.89486600 
19.20747010 8.99645720 10.89489840 
18.59932800 7.70884180 10.89483460 
21.02693480 12.85221300 10.89505200 
20.41912480 11.56371980 10.89498520 
