written by TR 
1.000000000 
64.035331700 0.000000000 0.000000000 
32.017665850 2.000000000 0.000000000 
0.000000000 0.000000000 18.354227100 
Type1 
1352
Cartesian 
0.75778670 1.20293870 7.47943640 
-0.00006355 0.00040000 7.47937440 
3.03164240 4.81294590 7.47990800 
2.27393410 3.61011670 7.47966150 
2.93676980 2.35122280 7.47959330 
2.17886640 1.14850610 7.47940690 
5.30527210 8.42286110 7.48009020 
4.54740240 7.22016240 7.48025750 
5.21025370 5.96119740 7.48015070 
4.45268060 4.75872230 7.48001720 
5.11552100 3.49958020 7.47985130 
4.35771130 2.29670670 7.47981980 
5.02063940 1.03845470 7.47968720 
7.57836680 12.03300570 7.48094130 
6.82066590 10.82997990 7.48094080 
7.48351810 9.57156570 7.48071670 
6.72614860 8.36874580 7.48062040 
7.38906910 7.10991480 7.48048780 
6.63155320 5.90701580 7.48028660 
7.29441070 4.64806030 7.48006820 
6.53655480 3.44560460 7.48002960 
7.19948050 2.18689080 7.48008060 
6.44140530 0.98401880 7.48004730 
9.85129080 15.64354140 7.48097950 
9.09405520 14.44055750 7.48108150 
9.75703430 13.18182090 7.48114590 
8.99934480 11.97895060 7.48112870 
9.66232300 10.72052290 7.48097040 
8.90454300 9.51745700 7.48092990 
9.56778530 8.25861650 7.48095940 
8.81017690 7.05572990 7.48079640 
9.47286700 5.79720550 7.48064760 
8.71503830 4.59427260 7.48056030 
9.37800120 3.33551240 7.48044870 
8.62033180 2.13262700 7.48024230 
9.28354360 0.87405460 7.48025610 
12.12419220 19.25377850 7.48048160 
11.36670590 18.05091480 7.48052460 
12.02972030 16.79184340 7.48067480 
11.27235700 15.58920770 7.48097180 
11.93518840 14.33057880 7.48110300 
11.17758080 13.12773420 7.48115590 
11.84075840 11.86918640 7.48111440 
11.08337970 10.66620160 7.48121840 
11.74628640 9.40764430 7.48108200 
10.98862460 8.20461270 7.48119690 
11.65163140 6.94622380 7.48101330 
10.89404300 5.74320800 7.48092840 
11.55697440 4.48447470 7.48100240 
10.79916960 3.28148410 7.48083500 
11.46228030 2.02300240 7.48073770 
10.70411020 0.82015020 7.48066950 
14.39783480 22.86378100 7.47986840 
13.63969230 21.66124920 7.47998910 
14.30282020 20.40223890 7.48021940 
13.54542160 19.19956400 7.48021460 
14.20833680 17.94071200 7.48058850 
13.45077900 16.73785780 7.48078630 
14.11349680 15.47935010 7.48090510 
13.35622500 14.27632620 7.48101860 
14.01942630 13.01759150 7.48109300 
13.26185610 11.81468300 7.48140670 
13.92489820 10.55638980 7.48127650 
13.16687110 9.35344980 7.48130090 
13.83019160 8.09515670 7.48119930 
13.07253840 6.89209280 7.48121120 
13.73560430 5.63340380 7.48105530 
12.97808080 4.43057630 7.48112110 
13.64084340 3.17206840 7.48106200 
12.88291360 1.96904440 7.48096280 
13.54601580 0.71050940 7.48099950 
16.67191320 26.47328000 7.47946120 
15.91399860 25.27069470 7.47931480 
16.57678610 24.01226230 7.47956850 
15.81879900 22.80946920 7.47961480 
16.48196410 21.55078510 7.47986940 
15.72410400 20.34806630 7.48000050 
16.38726040 19.08940510 7.48037960 
15.62920290 17.88680460 7.48051790 
16.29228590 16.62803650 7.48075770 
15.53477000 15.42508700 7.48086410 
16.19777110 14.16648010 7.48110630 
15.44022370 12.96358400 7.48124940 
16.10327150 11.70529080 7.48132800 
15.34560400 10.50206090 7.48140190 
16.00885580 9.24366670 7.48131900 
15.25119780 8.04054170 7.48140670 
15.91434000 6.78220510 7.48115830 
15.15645310 5.57931380 7.48119550 
15.81950000 4.32115320 7.48108340 
15.06158070 3.11801580 7.48112060 
15.72482210 1.85933500 7.48093230 
14.96688940 0.65619350 7.48103340 
18.85072520 27.62161450 7.47952750 
18.09260560 26.41928100 7.47939640 
18.75557900 25.16035080 7.47956420 
17.99761780 23.95764740 7.47968250 
18.66074760 22.69903190 7.47987510 
17.90297140 21.49636650 7.47958610 
18.56575010 20.23804280 7.48010210 
17.80793380 19.03522870 7.48027950 
18.47116470 17.77637480 7.48051840 
17.71374130 16.57384110 7.48060180 
18.37683490 15.31522850 7.48093660 
17.61894230 14.11243820 7.48102140 
18.28195190 12.85400500 7.48112110 
17.52421380 11.65102870 7.48138670 
18.18781280 10.39261720 7.48132140 
17.42974470 9.18944170 7.48146490 
18.09289550 7.93138800 7.48126890 
17.33483130 6.72818190 7.48133090 
17.99813660 5.46975420 7.48122460 
17.24033170 4.26677230 7.48119500 
17.90361800 3.00836850 7.48103670 
17.14569860 1.80532110 7.48107630 
17.80858810 0.54691480 7.48095370 
20.27155310 27.56758310 7.47961910 
20.93428420 26.30869870 7.47979310 
20.17668340 25.10606190 7.47972730 
20.83977320 23.84737400 7.47993660 
20.08161160 22.64475250 7.47999530 
20.74456220 21.38636590 7.48017460 
19.98660100 20.18343350 7.48032190 
20.64999770 18.92498400 7.48053930 
19.89220060 17.72200780 7.48054460 
20.55518340 16.46384620 7.48076490 
19.79739570 15.26107500 7.48095230 
20.46058850 14.00235750 7.48099190 
19.70309830 12.79950240 7.48100330 
20.36627010 11.54128740 7.48115350 
19.60857390 10.33835320 7.48123930 
20.27182010 9.08026410 7.48107050 
19.51384930 7.87708280 7.48114540 
20.17723270 6.61890650 7.48100380 
19.41916470 5.41578770 7.48108150 
20.08255770 4.15731190 7.48086070 
19.32423590 2.95434500 7.48100710 
19.98739820 1.69593430 7.48086120 
19.22948460 0.49291010 7.48096230 
23.11336330 27.45738990 7.47988510 
22.35543060 26.25454520 7.47987940 
23.01827240 24.99604040 7.48008730 
22.26024440 23.79339030 7.47997860 
22.92338180 22.53477860 7.48022940 
22.16550640 21.33184050 7.48024660 
22.82891850 20.07366560 7.48057610 
22.07092090 18.87072380 7.48064710 
22.73394590 17.61248780 7.48083120 
21.97620400 16.40939900 7.48083070 
22.63956840 15.15113740 7.48107340 
21.88196180 13.94828140 7.48102100 
22.54508020 12.68968970 7.48102190 
