written by TR 
1.000000000 
168.034201000 0.000000000 0.000000000 
84.017100500 145.521886771 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
18724
Cartesian 
0.73207500 1.21405000 7.39335000 
2.92600000 4.85756000 7.40402000 
2.19551000 3.64258000 7.39951000 
2.88105000 2.40161000 7.39809000 
2.14950000 1.18722000 7.39500000 
5.11432000 8.50445000 7.41777000 
4.38632000 7.28803000 7.41352000 
5.07263000 6.04731000 7.41159000 
4.34335000 4.83158000 7.40683000 
5.02901000 3.59063000 7.40577000 
4.29843000 2.37561000 7.40153000 
4.98390000 1.13467000 7.40218000 
6.53161000 8.47952000 7.42010000 
7.21812000 7.23887000 7.41898000 
6.48993000 6.02244000 7.41474000 
7.17586000 4.78159000 7.41403000 
6.44635000 3.56587000 7.40978000 
7.13204000 2.32502000 7.41024000 
6.40130000 1.10999000 7.40680000 
9.36281000 8.43197000 7.42540000 
8.63540000 7.21504000 7.42181000 
9.32176000 5.97440000 7.42125000 
8.59317000 4.75807000 7.41759000 
9.27924000 3.51741000 7.41777000 
8.54941000 2.30175000 7.41452000 
9.23558000 1.06128000 7.41588000 
10.78010000 8.40893000 7.42772000 
11.46700000 7.16857000 7.42695000 
10.73910000 5.95185000 7.42383000 
11.42560000 4.71145000 7.42356000 
10.69660000 3.49530000 7.42093000 
11.38310000 2.25500000 7.42163000 
10.65300000 1.03943000 7.41964000 
13.61190000 8.36360000 7.43155000 
12.88430000 7.14666000 7.42847000 
13.57160000 5.90659000 7.42744000 
12.84300000 4.69014000 7.42529000 
13.53000000 3.45008000 7.42527000 
12.80050000 2.23411000 7.42396000 
13.48760000 0.99420400 7.42515000 
15.02930000 8.34211000 7.43222000 
15.71720000 7.10238000 7.43011000 
14.98890000 5.88576000 7.42786000 
15.67650000 4.64599000 7.42694000 
14.94740000 3.42979000 7.42610000 
15.63480000 2.19005000 7.42673000 
14.90500000 0.97419700 7.42684000 
17.86260000 8.29873000 7.43273000 
17.13460000 7.08194000 7.42964000 
17.82280000 5.84248000 7.42763000 
17.09390000 4.62612000 7.42657000 
17.78180000 3.38660000 7.42654000 
17.05220000 2.17056000 7.42716000 
17.74000000 0.93104600 7.42907000 
19.28000000 8.27883000 7.43198000 
19.96870000 7.03966000 7.42886000 
19.24020000 5.82309000 7.42671000 
