written by TR 
1.000000000 
108.481827000 0.000000000 0.000000000 
0.000000000 187.896036000 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
15608
Cartesian 
0.86886300 8.58052000 7.41463000 
0.13888600 7.36531000 7.41048000 
0.82558000 6.12480000 7.40625000 
0.09444300 4.91020000 7.40191000 
0.78006200 3.66917000 7.39829000 
0.04788050 2.45513000 7.39505000 
0.73275300 1.21374000 7.39331000 
0.00000110 0.00000166 7.39240000 
2.28636000 8.55349000 7.41533000 
2.97293000 7.31280000 7.41218000 
2.24306000 6.09744000 7.40738000 
2.92869000 4.85632000 7.40448000 
2.19754000 3.64165000 7.39979000 
2.88246000 2.40024000 7.39829000 
2.15024000 1.18616000 7.39505000 
5.11901000 8.50231000 7.41854000 
4.39034000 7.28620000 7.41425000 
5.07604000 6.04505000 7.41228000 
4.34610000 4.82961000 7.40739000 
5.03117000 3.58823000 7.40630000 
4.29991000 2.37352000 7.40190000 
4.98478000 1.13214000 7.40258000 
6.53637000 8.47663000 7.42084000 
7.22228000 7.23555000 7.41973000 
6.49341000 6.01943000 7.41548000 
7.17876000 4.77817000 7.41478000 
6.44857000 3.56275000 7.41044000 
7.13367000 2.32148000 7.41090000 
6.40225000 1.10676000 7.40736000 
8.63964000 7.21095000 7.42252000 
8.59613000 4.75390000 7.41837000 
8.55110000 2.29748000 7.41528000 
9.36778000 8.42754000 7.42601000 
9.32543000 5.96989000 7.42202000 
9.28162000 3.51282000 7.41857000 
9.23668000 1.05659000 7.41665000 
10.78520000 8.40367000 7.42825000 
11.47150000 7.16291000 7.42763000 
10.74280000 5.94656000 7.42459000 
11.42880000 4.70575000 7.42439000 
10.69900000 3.48995000 7.42175000 
11.38500000 2.24923000 7.42245000 
10.65420000 1.03399000 7.42043000 
13.61730000 8.35670000 7.43219000 
12.88890000 7.14016000 7.42921000 
13.57560000 5.89969000 7.42841000 
12.84630000 4.68362000 7.42619000 
13.53270000 3.44315000 7.42622000 
12.80240000 2.22754000 7.42480000 
13.48890000 0.98719500 7.42591000 
15.03480000 8.33434000 7.43313000 
15.72210000 7.09422000 7.43154000 
14.99310000 5.87799000 7.42912000 
15.68010000 4.63782000 7.42841000 
14.95020000 3.42200000 7.42724000 
15.63700000 2.18183000 7.42781000 
14.90640000 0.96634300 7.42761000 
17.86840000 8.28932000 7.43506000 
17.13960000 7.07291000 7.43175000 
17.82720000 5.83304000 7.43024000 
17.09760000 4.61707000 7.42860000 
17.78480000 3.37712000 7.42860000 
17.05450000 2.16147000 7.42853000 
17.74160000 0.92149400 7.43012000 
19.28590000 8.26864000 7.43543000 
19.97400000 7.02905000 7.43324000 
19.24470000 5.81284000 7.43036000 
19.93240000 4.57312000 7.42974000 
19.20230000 3.35730000 7.42896000 
19.88970000 2.11747000 7.43028000 
19.15910000 0.90186600 7.43121000 
22.12010000 8.22640000 7.43850000 
21.39150000 7.00974000 7.43400000 
22.07960000 5.77025000 7.43285000 
21.34990000 4.55412000 7.43052000 
22.03750000 3.31447000 7.43141000 
21.30720000 2.09868000 7.43143000 
21.99450000 0.85892000 7.43433000 
23.53760000 8.20840000 7.44028000 
24.22600000 6.96910000 7.43886000 
23.49710000 5.75247000 7.43465000 
24.18500000 4.51301000 7.43500000 
23.45500000 3.29687000 7.43328000 
24.14250000 2.05727000 7.43576000 
23.41200000 0.84139800 7.43645000 
26.37140000 8.17025000 7.44765000 
25.64350000 6.95290000 7.44185000 
26.33170000 5.71364000 7.44177000 
25.60240000 4.49695000 7.43800000 
26.29020000 3.25753000 7.43978000 
25.56000000 2.04130000 7.43864000 
26.24750000 0.80179300 7.44221000 
27.78880000 8.15583000 7.45154000 
28.47740000 6.91679000 7.45127000 
27.74910000 5.69938000 7.44581000 
28.43720000 4.46017000 7.44680000 
27.70760000 3.24340000 7.44358000 
28.39530000 2.00408000 7.44617000 
27.66500000 0.78771000 7.44552000 
30.62200000 8.12265000 7.46228000 
29.89480000 6.90441000 7.45589000 
30.58330000 5.66545000 7.45622000 
29.85460000 4.44798000 7.45129000 
30.54260000 3.20889000 7.45272000 
29.81280000 1.99201000 7.45007000 
30.50070000 0.75290600 7.45265000 
32.03930000 8.11207000 7.46688000 
32.72830000 6.87340000 7.46681000 
32.00060000 5.65516000 7.46088000 
32.68900000 4.41634000 7.46124000 
31.96000000 3.19883000 7.45693000 
32.64810000 1.95996000 7.45812000 
31.91820000 0.74295000 7.45598000 
34.87210000 8.08386000 7.47726000 
34.14560000 6.86484000 7.47109000 
34.83450000 5.62633000 7.47064000 
34.10640000 4.40812000 7.46530000 
34.79490000 3.16952000 7.46518000 
34.06560000 1.95196000 7.46150000 
34.75400000 0.71339300 7.46198000 
36.28940000 8.07677000 7.48072000 
36.97900000 6.83861000 7.47976000 
36.25190000 5.61970000 7.47408000 
36.94090000 4.38141000 7.47294000 
36.21230000 3.16325000 7.46824000 
36.90100000 1.92492000 7.46743000 
36.17150000 0.70730400 7.46434000 
38.43210000 9.29063000 7.48888000 
39.12250000 8.05284000 7.48770000 
38.39630000 6.83329000 7.48226000 
39.08600000 5.59534000 7.48043000 
38.35830000 4.37657000 7.47533000 
39.04740000 3.13853000 7.47349000 
38.31850000 1.92040000 7.46946000 
39.00750000 0.68238800 7.46806000 
41.26510000 9.26865000 7.49384000 
40.53980000 8.04852000 7.48906000 
41.23020000 6.81095000 7.48686000 
40.50330000 5.59161000 7.48190000 
41.19310000 4.35388000 7.47935000 
40.46480000 3.13524000 7.47492000 
41.15420000 1.89746000 7.47263000 
40.42500000 0.67933400 7.46931000 
42.68240000 9.26506000 7.49397000 
43.37360000 8.02787000 7.49169000 
42.64750000 6.80804000 7.48726000 
43.33800000 5.57065000 7.48434000 
42.61040000 4.35154000 7.47997000 
43.30030000 3.11400000 7.47709000 
42.57160000 1.89547000 7.47340000 
43.26130000 0.65793400 7.47110000 
44.79090000 8.02551000 7.49095000 
44.75530000 5.56895000 7.48402000 
44.71770000 3.11279000 7.47717000 
44.67880000 0.65696200 7.47157000 
45.51620000 9.24576000 7.49459000 
45.48210000 6.78848000 7.48795000 
45.44580000 4.33171000 7.48083000 
45.40770000 1.87544000 7.47442000 
46.93360000 9.24370000 7.49273000 
47.62560000 8.00705000 7.48988000 
46.89950000 6.78717000 7.48664000 
47.59060000 5.55025000 7.48341000 
46.86310000 4.33100000 7.48011000 
47.55360000 3.09386000 7.47714000 
46.82510000 1.87510000 7.47434000 
47.51520000 0.63790000 7.47216000 
49.76860000 9.22605000 7.49003000 
49.04300000 8.00591000 7.48760000 
49.73490000 6.76933000 7.48455000 
49.00800000 5.54979000 7.48185000 
49.69900000 4.31292000 7.47887000 
48.97100000 3.09390000 7.47637000 
49.66140000 1.85685000 7.47406000 
48.93270000 0.63817400 7.47220000 
51.18610000 9.22486000 7.48688000 
51.87880000 7.98865000 7.48418000 
51.15240000 6.76890000 7.48219000 
51.84410000 5.53233000 7.47941000 
51.11640000 4.31310000 7.47739000 
51.80730000 3.07624000 7.47509000 
51.07880000 1.85740000 7.47349000 
51.76930000 0.62040500 7.47215000 
54.02230000 9.20793000 7.48241000 
53.29630000 7.98806000 7.48111000 
53.98870000 6.75181000 7.47869000 
53.26150000 5.53244000 7.47724000 
53.95290000 4.29581000 7.47511000 
53.22470000 3.07685000 7.47389000 
53.91540000 1.83996000 7.47256000 
53.18670000 0.62123800 7.47196000 
55.43980000 9.20700000 7.47881000 
56.13310000 7.97110000 7.47685000 
55.40620000 6.75165000 7.47594000 
56.09830000 5.51529000 7.47412000 
55.37040000 4.29626000 7.47333000 
56.06140000 3.05953000 7.47210000 
55.33280000 1.84077000 7.47179000 
56.02340000 0.60383300 7.47158000 
58.27730000 9.18994000 7.47422000 
57.55060000 7.97049000 7.47371000 
58.24340000 6.73443000 7.47229000 
57.51580000 5.51537000 7.47186000 
58.20740000 4.27885000 7.47085000 
57.47890000 3.06010000 7.47080000 
58.16970000 1.82324000 7.47061000 
57.44080000 0.60462000 7.47125000 
59.69490000 9.18871000 7.47095000 
60.38850000 7.95298000 7.46996000 
59.66100000 6.73396000 7.46975000 
60.35320000 5.49768000 7.46901000 
59.62490000 4.27897000 7.46914000 
60.31600000 3.04224000 7.46902000 
59.58710000 1.82371000 7.46978000 
60.27750000 0.58669000 7.47063000 
