written by TR 
1.000000000 
168.034201000 0.000000000 0.000000000 
0.000000000 291.043773000 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
37448
Cartesian 
0.87667200 8.57925000 7.41010000 
0.14509200 7.36500000 7.40641000 
0.83029100 6.12379000 7.40325000 
0.09781670 4.91002000 7.40040000 
0.78233100 3.66848000 7.39829000 
0.04924670 2.45503000 7.39656000 
0.73336600 1.21329000 7.39568000 
2.29411000 8.55104000 7.41085000 
2.97933000 7.30976000 7.40789000 
2.24772000 6.09548000 7.40406000 
2.93226000 4.85390000 7.40205000 
2.19975000 3.64011000 7.39914000 
2.88389000 2.39836000 7.39829000 
2.15079000 1.18489000 7.39656000 
5.12724000 8.49688000 7.41435000 
4.39671000 7.28193000 7.40976000 
5.08131000 6.04032000 7.40793000 
4.34964000 4.82600000 7.40405000 
5.03384000 3.58425000 7.40327000 
4.30130000 2.37042000 7.40039000 
4.98540000 1.12867000 7.40082000 
6.54457000 8.46985000 7.41704000 
7.22926000 7.22822000 7.41545000 
6.49866000 6.01322000 7.41085000 
7.18295000 4.77148000 7.41017000 
6.45121000 3.55711000 7.40638000 
7.13539000 2.31539000 7.40678000 
6.40281000 1.10151000 7.40404000 
9.37592000 8.41800000 7.42406000 
8.64656000 7.20220000 7.41901000 
9.33099000 5.96048000 7.41843000 
8.60028000 4.74543000 7.41400000 
9.28458000 3.50376000 7.41437000 
8.55277000 2.28933000 7.41081000 
9.23725000 1.04784000 7.41226000 
10.79320000 8.39328000 7.42796000 
11.47780000 7.15162000 7.42749000 
10.74830000 5.93577000 7.42265000 
11.43270000 4.69416000 7.42299000 
10.70190000 3.47906000 7.41887000 
11.38650000 2.23763000 7.42016000 
10.65470000 1.02315000 7.41697000 
13.62330000 8.34510000 7.43678000 
12.89500000 7.12839000 7.43176000 
13.57970000 5.88688000 7.43203000 
12.85000000 4.67100000 7.42760000 
13.53480000 3.42967000 7.42871000 
12.80390000 2.21451000 7.42508000 
13.48910000 0.97350800 7.42711000 
15.04040000 8.32344000 7.44082000 
15.72550000 7.08207000 7.44097000 
14.99700000 5.86535000 7.43643000 
15.68210000 4.62416000 7.43733000 
14.95210000 3.40824000 7.43349000 
15.63750000 2.16734000 7.43524000 
14.90650000 0.95212200 7.43222000 
17.86990000 8.27984000 7.44939000 
