written by TR 
1.000000000 
121.242847000 0.000000000 0.000000000 
0.000000000 209.998772000 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
19496
Cartesian 
0.86649500 8.58062000 2.91413000 
0.13686600 7.36522000 2.91004000 
0.82388800 6.12492000 2.90589000 
0.09308550 4.91015000 2.90165000 
0.77903100 3.66932000 2.89813000 
0.04719230 2.45510000 2.89500000 
0.73240000 1.21392000 2.89332000 
0.00000227 -0.00000207 2.89245000 
2.28398000 8.55396000 2.91482000 
2.97088000 7.31349000 2.91171000 
2.24135000 6.09795000 2.90699000 
2.92731000 4.85705000 2.90416000 
2.19649000 3.64220000 2.89959000 
2.88175000 2.40100000 2.89814000 
2.14987000 1.18674000 2.89500000 
5.11659000 8.50358000 2.91804000 
4.38828000 7.28728000 2.91376000 
5.07431000 6.04634000 2.91183000 
4.34471000 4.83073000 2.90701000 
5.03010000 3.58956000 2.90593000 
4.29918000 2.37467000 2.90164000 
4.98438000 1.13350000 2.90230000 
6.53394000 8.47830000 2.92037000 
7.22018000 7.23743000 2.91926000 
6.49167000 6.02112000 2.91500000 
7.17733000 4.78006000 2.91429000 
6.44749000 3.56446000 2.91000000 
7.13291000 2.32339000 2.91045000 
6.40184000 1.10849000 2.90698000 
9.36526000 8.43003000 2.92566000 
8.63751000 7.21323000 2.92209000 
9.32361000 5.97238000 2.92153000 
8.59469000 4.75618000 2.91786000 
9.28049000 3.51531000 2.91804000 
8.55033000 2.29978000 2.91477000 
9.23623000 1.05909000 2.91614000 
0.55098900 8.60577000 6.48571000 
0.59359600 6.15097000 6.49406000 
0.63845000 3.69617000 6.50186000 
0.68508800 1.24124000 6.50668000 
-0.00000010 0.00000257 6.50755000 
1.96861000 8.63250000 6.48500000 
2.69913000 7.41765000 6.48817000 
2.01118000 6.17799000 6.49299000 
2.74267000 4.96364000 6.49584000 
2.05599000 3.72332000 6.50041000 
2.78821000 2.50932000 6.50187000 
2.10259000 1.26842000 6.50499000 
2.83498000 0.05447640 6.50418000 
4.80601000 8.68288000 6.48196000 
4.11683000 7.44399000 6.48623000 
4.84823000 6.22960000 6.48829000 
4.16031000 4.99004000 6.49301000 
4.89239000 3.77596000 6.49411000 
4.20577000 2.53568000 6.49835000 
4.93810000 1.32167000 6.49770000 
4.25247000 0.08080660 6.50041000 
6.22381000 8.70837000 6.48005000 
6.95501000 7.49384000 6.48136000 
6.26596000 6.25496000 6.48517000 
6.99779000 5.04071000 6.48587000 
6.31004000 3.80113000 6.48996000 
7.04218000 2.58697000 6.48951000 
6.35564000 1.34669000 6.49298000 
7.08755000 0.13231000 6.49097000 
9.06268000 8.75661000 6.47632000 
8.37281000 7.51822000 6.47871000 
9.10423000 6.30370000 6.47892000 
8.41550000 5.06471000 6.48205000 
9.14730000 3.85030000 6.48169000 
8.45979000 2.61063000 6.48495000 
9.19155000 1.39610000 6.48367000 
8.50505000 0.15582700 6.48624000 
10.78260000 8.40661000 2.92796000 
11.46930000 7.16605000 2.92721000 
10.74100000 5.94947000 2.92409000 
11.42730000 4.70886000 2.92382000 
10.69790000 3.49285000 2.92119000 
11.38410000 2.25234000 2.92189000 
10.65370000 1.03689000 2.91991000 
13.61460000 8.36052000 2.93179000 
12.88670000 7.14375000 2.92872000 
13.57370000 5.90347000 2.92772000 
12.84470000 4.68717000 2.92554000 
13.53150000 3.44690000 2.92553000 
12.80160000 2.23108000 2.92421000 
13.48840000 0.99094800 2.92538000 
15.03210000 8.33863000 2.93253000 
15.71970000 7.09870000 2.93054000 
14.99110000 5.88224000 2.92820000 
15.67840000 4.64227000 2.92732000 
14.94890000 3.42622000 2.92638000 
15.63610000 2.18626000 2.92700000 
14.90590000 0.97056300 2.92706000 
17.86550000 8.29449000 2.93353000 
17.13720000 7.07787000 2.93030000 
17.82510000 5.83820000 2.92842000 
17.09590000 4.62200000 2.92713000 
17.78350000 3.38226000 2.92711000 
17.05360000 2.16638000 2.92752000 
17.74100000 0.92663200 2.92936000 
10.48050000 8.78028000 6.47430000 
11.21140000 7.56541000 6.47385000 
10.52200000 6.32679000 6.47576000 
11.25330000 5.11205000 6.47523000 
10.56500000 3.87285000 6.47781000 
11.29640000 2.65810000 6.47706000 
10.60910000 1.41833000 6.47959000 
11.34030000 0.20333300 6.47831000 
13.31900000 8.82636000 6.47022000 
12.62920000 7.58795000 6.47107000 
13.35990000 6.37282000 6.47000000 
12.67100000 5.13390000 6.47188000 
13.40200000 3.91885000 6.47125000 
12.71400000 2.67944000 6.47365000 
13.44500000 1.46429000 6.47320000 
12.75780000 0.22445800 6.47531000 
14.73680000 8.84856000 6.46718000 
15.46680000 7.63303000 6.46524000 
14.77760000 6.39427000 6.46661000 
15.50800000 5.17886000 6.46566000 
14.81960000 3.93967000 6.46802000 
15.55030000 2.72430000 6.46800000 
14.86260000 1.48473000 6.47061000 
15.59320000 0.26926900 6.47099000 
17.57410000 8.89274000 6.46014000 
16.88450000 7.65417000 6.46122000 
17.61440000 6.43839000 6.45961000 
16.92560000 5.19934000 6.46200000 
17.65590000 3.98369000 6.46197000 
16.96780000 2.74429000 6.46520000 
17.69830000 1.52869000 6.46629000 
17.01070000 0.28905000 6.46935000 
19.28300000 8.27423000 2.93322000 
19.97150000 7.03484000 2.93042000 
19.24260000 5.81843000 2.92791000 
19.93060000 4.57892000 2.92714000 
19.20090000 3.36288000 2.92702000 
19.88860000 2.12328000 2.92861000 
19.15850000 0.90745800 2.93026000 
22.11720000 8.23272000 2.93463000 
21.38890000 7.01589000 2.93038000 
22.07740000 5.77662000 2.92889000 
21.34810000 4.56030000 2.92725000 
22.03610000 3.32089000 2.92835000 
21.30610000 2.10489000 2.92933000 
21.99390000 0.86536500 2.93284000 
23.53470000 8.21499000 2.93561000 
24.22340000 6.97592000 2.93366000 
23.49480000 5.75913000 2.92995000 
24.18310000 4.51990000 2.93041000 
23.45360000 3.30358000 2.92966000 
24.14150000 2.06421000 2.93277000 
23.41140000 0.84815100 2.93464000 
26.36850000 8.17741000 2.94167000 
25.64090000 6.95992000 2.93604000 
26.32950000 5.72089000 2.93592000 
25.60060000 4.50405000 2.93288000 
26.28870000 3.26486000 2.93524000 
25.55900000 2.04846000 2.93527000 
26.24690000 0.80918300 2.93983000 
27.78590000 8.16313000 2.94523000 
27.74690000 5.70677000 2.93968000 
27.70620000 3.25086000 2.93880000 
27.66440000 0.79522800 2.94294000 
18.99180000 8.91336000 6.45522000 
19.72120000 7.69724000 6.45292000 
19.03200000 6.45842000 6.45523000 
19.76180000 5.24246000 6.45487000 
19.07340000 4.00322000 6.45852000 
19.80360000 2.78741000 6.45992000 
19.11580000 1.54791000 6.46409000 
19.84610000 0.33216000 6.46629000 
21.82870000 8.95493000 6.44601000 
21.13880000 7.71651000 6.44797000 
21.86830000 6.50026000 6.44724000 
21.17940000 5.26129000 6.45081000 
21.90930000 4.04524000 6.45217000 
21.22120000 2.80592000 6.45698000 
21.95140000 1.59001000 6.45967000 
21.26360000 0.35050800 6.46455000 
23.24640000 8.97300000 6.44103000 
23.97560000 7.75650000 6.44014000 
23.28590000 6.51800000 6.44304000 
24.01550000 5.30171000 6.44420000 
23.32690000 4.06269000 6.44881000 
24.05690000 2.84659000 6.45161000 
23.36890000 1.60727000 6.45715000 
24.09920000 0.39126800 6.46032000 
26.08400000 9.01058000 6.43467000 
25.39330000 7.77276000 6.43647000 
26.12260000 6.55623000 6.43749000 
25.43320000 5.31773000 6.44107000 
26.16300000 4.10140000 6.44371000 
25.47450000 2.86243000 6.44884000 
26.20470000 1.64623000 6.45216000 
25.51670000 0.40701100 6.45775000 
27.50180000 9.02511000 6.43202000 
27.54030000 6.57054000 6.43519000 
27.58070000 4.11552000 6.44140000 
27.62220000 1.66023000 6.44953000 
28.51240000 9.38147000 2.95207000 
28.47490000 6.92430000 2.94481000 
28.43530000 4.46778000 2.94114000 
28.39430000 2.01176000 2.94236000 
29.92970000 9.36900000 2.95636000 
30.61910000 8.13039000 2.95601000 
29.89220000 6.91203000 2.94951000 
30.58100000 5.67327000 2.95020000 
29.85270000 4.45567000 2.94570000 
30.54110000 3.21679000 2.94799000 
29.81170000 1.99975000 2.94626000 
30.50000000 0.76086700 2.94997000 
32.76200000 9.33917000 2.96802000 
32.03640000 8.11993000 2.96106000 
32.72570000 6.88144000 2.96125000 
31.99840000 5.66305000 2.95529000 
32.68720000 4.42444000 2.95636000 
31.95850000 3.20677000 2.95250000 
32.64700000 1.96810000 2.95469000 
31.91740000 0.75093500 2.95339000 
34.17930000 9.33038000 2.97285000 
34.86910000 8.09219000 2.97286000 
34.14300000 6.87299000 2.96629000 
34.83220000 5.63467000 2.96638000 
34.10450000 4.41628000 2.96103000 
34.79340000 3.17788000 2.96173000 
34.06440000 1.96014000 2.95844000 
34.75320000 0.72178600 2.95979000 
37.01140000 9.30528000 2.98376000 
36.28640000 8.08530000 2.97732000 
36.97620000 6.84730000 2.97677000 
36.24950000 5.62818000 2.97071000 
36.93890000 4.39007000 2.97016000 
36.21070000 3.17170000 2.96542000 
36.89980000 1.93358000 2.96526000 
36.17070000 0.71577300 2.96241000 
28.23090000 7.80835000 6.43310000 
28.27000000 5.35398000 6.43756000 
28.31070000 2.89911000 6.44452000 
28.35240000 0.44385000 6.45211000 
30.34060000 9.05779000 6.43130000 
29.64870000 7.82078000 6.43193000 
30.37810000 6.60397000 6.43409000 
29.68770000 5.36619000 6.43621000 
30.41760000 4.14953000 6.43896000 
