written by TR 
1.000000000 
36.179139200 0.000000000 0.000000000 
0.000000000 62.664107200 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
1736
Cartesian 
0.35203000 9.81673000 2.94988000 
1.01822000 8.56489000 2.93911000 
0.26732700 7.36242000 2.92877000 
0.93225300 6.11000000 2.91925000 
0.17998300 4.90827000 2.91042000 
0.84386400 3.65535000 2.90358000 
0.09057100 2.45416000 2.89785000 
0.75380800 1.20093000 2.89488000 
0.00000727 0.00000428 2.89337000 
3.18441000 9.71669000 2.95266000 
2.43524000 8.51321000 2.94126000 
3.10008000 7.26054000 2.93291000 
2.34922000 6.05799000 2.92172000 
3.01312000 4.80496000 2.91556000 
2.26079000 3.60319000 2.90635000 
2.92408000 2.34992000 2.90360000 
2.17073000 1.14871000 2.89785000 
4.60134000 9.66574000 2.95669000 
5.26617000 8.41285000 2.95012000 
4.51698000 7.20929000 2.93805000 
5.18098000 5.95616000 2.93302000 
4.42999000 4.75357000 2.92165000 
5.09342000 3.50028000 2.91936000 
4.34096000 2.29849000 2.91037000 
5.00423000 1.04525000 2.91173000 
7.43054000 9.56726000 2.96793000 
6.68301000 8.36266000 2.95653000 
7.34731000 7.10951000 2.95304000 
6.59781000 5.90596000 2.94101000 
7.26154000 4.65273000 2.93942000 
6.51025000 3.45014000 2.92857000 
7.17375000 2.19697000 2.92984000 
6.42111000 0.99512100 2.92166000 
8.84737000 9.51817000 2.97415000 
8.76411000 7.06068000 2.96134000 
8.67834000 4.60417000 2.94942000 
8.59058000 2.14858000 2.94103000 
0.39862300 8.61504000 6.46058000 
0.48464400 6.16117000 6.48064000 
0.57306500 3.70728000 6.49640000 
0.66314400 1.25327000 6.50512000 
0.00000830 0.00000272 6.50663000 
2.48337000 9.91770000 6.44696000 
1.81582000 8.66685000 6.45899000 
2.56771000 7.46494000 6.46698000 
1.90173000 6.21327000 6.47835000 
2.65467000 5.01191000 6.48444000 
1.99007000 3.75950000 6.49365000 
2.74370000 2.55848000 6.49642000 
2.08009000 1.30551000 6.50214000 
2.83389000 0.10455100 6.50069000 
3.90078000 9.96898000 6.44347000 
4.65267000 8.76706000 6.44988000 
3.98496000 7.51646000 6.46195000 
4.73779000 6.31501000 6.46709000 
4.07178000 5.06347000 6.47828000 
4.82530000 3.86235000 6.48075000 
4.16070000 2.61000000 6.48957000 
4.91446000 1.40895000 6.48832000 
4.25082000 0.15601800 6.49364000 
6.73965000 10.06720000 6.43241000 
6.07012000 8.81775000 6.44331000 
6.82270000 7.61611000 6.44734000 
6.15505000 6.36558000 6.45874000 
6.90832000 5.16424000 6.46089000 
6.24239000 3.91271000 6.47123000 
6.99600000 2.71148000 6.47034000 
