written by TR 
1.000000000 
112.735482000 0.000000000 0.000000000 
0.000000000 195.263582000 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
16856
Cartesian 
0.69556779 194.02793460 7.50000000 
0.66881518 191.57208031 7.50000000 
0.64206258 189.11622602 7.50000000 
0.61530997 186.66037173 7.50000000 
0.58855736 184.20451744 7.50000000 
0.56180476 181.74866315 7.50000000 
0.53505215 179.29280886 7.50000000 
0.50829954 176.83695457 7.50000000 
0.48154694 174.38110028 7.50000000 
0.45479433 171.92524599 7.50000000 
0.42804172 169.46939170 7.50000000 
0.40128912 167.01353740 7.50000000 
0.37453651 164.55768311 7.50000000 
0.34778390 162.10182882 7.50000000 
0.32103130 159.64597453 7.50000000 
0.29427869 157.19012024 7.50000000 
0.26752608 154.73426595 7.50000000 
0.24077348 152.27841166 7.50000000 
0.21402087 149.82255737 7.50000000 
0.18726826 147.36670308 7.50000000 
0.16051566 144.91084879 7.50000000 
0.13376305 142.45499450 7.50000000 
0.10701044 139.99914020 7.50000000 
0.08025784 137.54328591 7.50000000 
0.05350523 135.08743162 7.50000000 
0.02675262 132.63157733 7.50000000 
0.00000002 130.17572304 7.50000000 
2.83577630 195.23269331 7.50000000 
2.11345593 194.01248898 7.50000000 
2.80902369 192.77683902 7.50000000 
2.08670332 191.55663469 7.50000000 
2.78227108 190.32098473 7.50000000 
2.05995071 189.10078040 7.50000000 
2.75551848 187.86513044 7.50000000 
2.03319811 186.64492611 7.50000000 
2.72876587 185.40927615 7.50000000 
2.00644550 184.18907182 7.50000000 
2.70201326 182.95342186 7.50000000 
1.97969289 181.73321753 7.50000000 
2.67526066 180.49756757 7.50000000 
1.95294029 179.27736323 7.50000000 
2.64850805 178.04171328 7.50000000 
1.92618768 176.82150894 7.50000000 
2.62175544 175.58585899 7.50000000 
1.89943507 174.36565465 7.50000000 
2.59500284 173.13000469 7.50000000 
1.87268247 171.90980036 7.50000000 
2.56825023 170.67415040 7.50000000 
1.84592986 169.45394607 7.50000000 
2.54149762 168.21829611 7.50000000 
1.81917725 166.99809178 7.50000000 
2.51474502 165.76244182 7.50000000 
1.79242465 164.54223749 7.50000000 
2.48799241 163.30658753 7.50000000 
1.76567204 162.08638320 7.50000000 
2.46123980 160.85073324 7.50000000 
1.73891943 159.63052891 7.50000000 
2.43448720 158.39487895 7.50000000 
1.71216683 157.17467462 7.50000000 
2.40773459 155.93902466 7.50000000 
1.68541422 154.71882033 7.50000000 
2.38098198 153.48317037 7.50000000 
1.65866161 152.26296603 7.50000000 
2.35422938 151.02731608 7.50000000 
1.63190901 149.80711174 7.50000000 
2.32747677 148.57146179 7.50000000 
1.60515640 147.35125745 7.50000000 
2.30072416 146.11560750 7.50000000 
1.57840379 144.89540316 7.50000000 
2.27397156 143.65975320 7.50000000 
1.55165119 142.43954887 7.50000000 
2.24721895 141.20389891 7.50000000 
1.52489858 139.98369458 7.50000000 
2.22046634 138.74804462 7.50000000 
1.49814597 137.52784029 7.50000000 
2.19371374 136.29219033 7.50000000 
1.47139337 135.07198600 7.50000000 
2.16696113 133.83633604 7.50000000 
1.44464076 132.61613171 7.50000000 
2.14020852 131.38048175 7.50000000 
1.41788815 130.16027742 7.50000000 
2.11345592 128.92462746 7.50000000 
1.39113555 127.70442313 7.50000000 
2.08670331 126.46877317 7.50000000 
1.36438294 125.24856883 7.50000000 
2.05995070 124.01291888 7.50000000 
1.33763033 122.79271454 7.50000000 
2.03319810 121.55706459 7.50000000 
1.31087773 120.33686025 7.50000000 
2.00644549 119.10121030 7.50000000 
1.28412512 117.88100596 7.50000000 
1.97969288 116.64535600 7.50000000 
1.25737251 115.42515167 7.50000000 
1.95294028 114.18950171 7.50000000 
1.23061991 112.96929738 7.50000000 
1.92618767 111.73364742 7.50000000 
1.20386730 110.51344309 7.50000000 
1.89943506 109.27779313 7.50000000 
1.17711469 108.05758880 7.50000000 
1.87268246 106.82193884 7.50000000 
1.15036209 105.60173451 7.50000000 
1.84592985 104.36608455 7.50000000 
1.12360948 103.14588022 7.50000000 
1.81917724 101.91023026 7.50000000 
1.09685687 100.69002593 7.50000000 
1.79242464 99.45437597 7.50000000 
1.07010427 98.23417164 7.50000000 
1.76567203 96.99852168 7.50000000 
1.04335166 95.77831734 7.50000000 
1.73891942 94.54266739 7.50000000 
1.01659905 93.32246305 7.50000000 
1.71216682 92.08681310 7.50000000 
0.98984645 90.86660876 7.50000000 
1.68541421 89.63095880 7.50000000 
0.96309384 88.41075447 7.50000000 
1.65866160 87.17510451 7.50000000 
0.93634123 85.95490018 7.50000000 
1.63190900 84.71925022 7.50000000 
0.90958863 83.49904589 7.50000000 
1.60515639 82.26339593 7.50000000 
0.88283602 81.04319160 7.50000000 
1.57840378 79.80754164 7.50000000 
0.85608341 78.58733731 7.50000000 
1.55165118 77.35168735 7.50000000 
0.82933081 76.13148302 7.50000000 
1.52489857 74.89583306 7.50000000 
0.80257820 73.67562873 7.50000000 
1.49814596 72.43997877 7.50000000 
0.77582559 71.21977444 7.50000000 
1.47139336 69.98412448 7.50000000 
0.74907299 68.76392014 7.50000000 
1.44464075 67.52827019 7.50000000 
0.72232038 66.30806585 7.50000000 
1.41788814 65.07241590 7.50000000 
0.69556777 63.85221156 7.50000000 
1.39113554 62.61656161 7.50000000 
0.66881517 61.39635727 7.50000000 
1.36438293 60.16070731 7.50000000 
0.64206256 58.94050298 7.50000000 
1.33763032 57.70485302 7.50000000 
0.61530995 56.48464869 7.50000000 
1.31087772 55.24899873 7.50000000 
0.58855735 54.02879440 7.50000000 
1.28412511 52.79314444 7.50000000 
0.56180474 51.57294011 7.50000000 
1.25737250 50.33729015 7.50000000 
0.53505213 49.11708582 7.50000000 
1.23061990 47.88143586 7.50000000 
0.50829953 46.66123153 7.50000000 
1.20386729 45.42558157 7.50000000 
0.48154692 44.20537724 7.50000000 
1.17711468 42.96972728 7.50000000 
0.45479431 41.74952294 7.50000000 
1.15036208 40.51387299 7.50000000 
0.42804171 39.29366865 7.50000000 
1.12360947 38.05801870 7.50000000 
0.40128910 36.83781436 7.50000000 
1.09685686 35.60216441 7.50000000 
0.37453649 34.38196007 7.50000000 
1.07010426 33.14631011 7.50000000 
0.34778389 31.92610578 7.50000000 
1.04335165 30.69045582 7.50000000 
0.32103128 29.47025149 7.50000000 
1.01659904 28.23460153 7.50000000 
0.29427867 27.01439720 7.50000000 
0.98984644 25.77874724 7.50000000 
0.26752607 24.55854291 7.50000000 
0.96309383 23.32289295 7.50000000 
0.24077346 22.10268862 7.50000000 
0.93634122 20.86703866 7.50000000 
0.21402085 19.64683433 7.50000000 
0.90958862 18.41118437 7.50000000 
0.18726825 17.19098004 7.50000000 
0.88283601 15.95533008 7.50000000 
0.16051564 14.73512575 7.50000000 
0.85608340 13.49947579 7.50000000 
0.13376303 12.27927145 7.50000000 
0.82933080 11.04362150 7.50000000 
0.10701043 9.82341716 7.50000000 
0.80257819 8.58776721 7.50000000 
0.08025782 7.36756287 7.50000000 
0.77582558 6.13191291 7.50000000 
0.05350521 4.91170858 7.50000000 
0.74907298 3.67605862 7.50000000 
0.02675261 2.45585429 7.50000000 
0.72232037 1.22020433 7.50000000 
0.00000000 0.00000000 7.50000000 
4.25366443 195.21724769 7.50000000 
4.94923220 193.98159773 7.50000000 
4.22691183 192.76139340 7.50000000 
4.92247959 191.52574344 7.50000000 
4.20015922 190.30553911 7.50000000 
4.89572698 189.06988915 7.50000000 
4.17340661 187.84968482 7.50000000 
4.86897438 186.61403486 7.50000000 
4.14665401 185.39383052 7.50000000 
4.84222177 184.15818057 7.50000000 
4.11990140 182.93797623 7.50000000 
4.81546916 181.70232628 7.50000000 
4.09314879 180.48212194 7.50000000 
4.78871656 179.24647198 7.50000000 
4.06639619 178.02626765 7.50000000 
4.76196395 176.79061769 7.50000000 
4.03964358 175.57041336 7.50000000 
4.73521134 174.33476340 7.50000000 
4.01289097 173.11455907 7.50000000 
4.70845874 171.87890911 7.50000000 
3.98613837 170.65870478 7.50000000 
4.68170613 169.42305482 7.50000000 
3.95938576 168.20285049 7.50000000 
4.65495352 166.96720053 7.50000000 
3.93263315 165.74699620 7.50000000 
4.62820092 164.51134624 7.50000000 
3.90588055 163.29114191 7.50000000 
4.60144831 162.05549195 7.50000000 
3.87912794 160.83528762 7.50000000 
4.57469570 159.59963766 7.50000000 
3.85237533 158.37943332 7.50000000 
4.54794310 157.14378337 7.50000000 
3.82562273 155.92357903 7.50000000 
4.52119049 154.68792908 7.50000000 
3.79887012 153.46772474 7.50000000 
4.49443788 152.23207479 7.50000000 
3.77211751 151.01187045 7.50000000 
4.46768528 149.77622049 7.50000000 
3.74536491 148.55601616 7.50000000 
4.44093267 147.32036620 7.50000000 
3.71861230 146.10016187 7.50000000 
4.41418006 144.86451191 7.50000000 
3.69185969 143.64430758 7.50000000 
4.38742746 142.40865762 7.50000000 
3.66510709 141.18845329 7.50000000 
4.36067485 139.95280333 7.50000000 
3.63835448 138.73259900 7.50000000 
4.33392224 137.49694904 7.50000000 
3.61160187 136.27674471 7.50000000 
4.30716964 135.04109475 7.50000000 
3.58484927 133.82089042 7.50000000 
4.28041703 132.58524046 7.50000000 
3.55809666 131.36503613 7.50000000 
4.25366442 130.12938617 7.50000000 
3.53134405 128.90918183 7.50000000 
4.22691182 127.67353188 7.50000000 
3.50459145 126.45332754 7.50000000 
4.20015921 125.21767759 7.50000000 
3.47783884 123.99747325 7.50000000 
4.17340660 122.76182329 7.50000000 
3.45108623 121.54161896 7.50000000 
4.14665400 120.30596900 7.50000000 
3.42433363 119.08576467 7.50000000 
4.11990139 117.85011471 7.50000000 
3.39758102 116.62991038 7.50000000 
4.09314878 115.39426042 7.50000000 
3.37082841 114.17405609 7.50000000 
4.06639618 112.93840613 7.50000000 
3.34407581 111.71820180 7.50000000 
4.03964357 110.48255184 7.50000000 
3.31732320 109.26234751 7.50000000 
4.01289096 108.02669755 7.50000000 
3.29057059 106.80649322 7.50000000 
3.98613836 105.57084326 7.50000000 
3.26381799 104.35063893 7.50000000 
3.95938575 103.11498897 7.50000000 
3.23706538 101.89478463 7.50000000 
3.93263314 100.65913468 7.50000000 
3.21031277 99.43893034 7.50000000 
3.90588054 98.20328039 7.50000000 
3.18356017 96.98307605 7.50000000 
3.87912793 95.74742610 7.50000000 
3.15680756 94.52722176 7.50000000 
3.85237532 93.29157180 7.50000000 
3.13005495 92.07136747 7.50000000 
3.82562272 90.83571751 7.50000000 
3.10330235 89.61551318 7.50000000 
3.79887011 88.37986322 7.50000000 
3.07654974 87.15965889 7.50000000 
3.77211750 85.92400893 7.50000000 
3.04979713 84.70380460 7.50000000 
3.74536490 83.46815464 7.50000000 
3.02304453 82.24795031 7.50000000 
3.71861229 81.01230035 7.50000000 
2.99629192 79.79209602 7.50000000 
3.69185968 78.55644606 7.50000000 
2.96953931 77.33624173 7.50000000 
3.66510708 76.10059177 7.50000000 
2.94278671 74.88038743 7.50000000 
3.63835447 73.64473748 7.50000000 
2.91603410 72.42453314 7.50000000 
3.61160186 71.18888319 7.50000000 
2.88928149 69.96867885 7.50000000 
3.58484926 68.73302890 7.50000000 
2.86252889 67.51282456 7.50000000 
3.55809665 66.27717460 7.50000000 
2.83577628 65.05697027 7.50000000 
3.53134404 63.82132031 7.50000000 
2.80902367 62.60111598 7.50000000 
3.50459144 61.36546602 7.50000000 
2.78227107 60.14526169 7.50000000 
3.47783883 58.90961173 7.50000000 
2.75551846 57.68940740 7.50000000 
3.45108622 56.45375744 7.50000000 
2.72876585 55.23355311 7.50000000 
3.42433362 53.99790315 7.50000000 
2.70201325 52.77769882 7.50000000 
3.39758101 51.54204886 7.50000000 
2.67526064 50.32184453 7.50000000 
3.37082840 49.08619457 7.50000000 
2.64850803 47.86599024 7.50000000 
3.34407580 46.63034028 7.50000000 
2.62175543 45.41013594 7.50000000 
3.31732319 44.17448599 7.50000000 
2.59500282 42.95428165 7.50000000 
3.29057058 41.71863170 7.50000000 
2.56825021 40.49842736 7.50000000 
3.26381798 39.26277740 7.50000000 
2.54149761 38.04257307 7.50000000 
3.23706537 36.80692311 7.50000000 
2.51474500 35.58671878 7.50000000 
3.21031276 34.35106882 7.50000000 
2.48799239 33.13086449 7.50000000 
3.18356016 31.89521453 7.50000000 
2.46123979 30.67501020 7.50000000 
3.15680755 29.43936024 7.50000000 
2.43448718 28.21915591 7.50000000 
3.13005494 26.98350595 7.50000000 
2.40773457 25.76330162 7.50000000 
3.10330234 24.52765166 7.50000000 
2.38098197 23.30744733 7.50000000 
3.07654973 22.07179737 7.50000000 
2.35422936 20.85159304 7.50000000 
3.04979713 19.61594308 7.50000000 
2.32747675 18.39573874 7.50000000 
3.02304452 17.16008879 7.50000000 
2.30072415 15.93988445 7.50000000 
2.99629191 14.70423450 7.50000000 
2.27397154 13.48403016 7.50000000 
2.96953931 12.24838021 7.50000000 
2.24721893 11.02817587 7.50000000 
2.94278670 9.79252591 7.50000000 
2.22046633 8.57232158 7.50000000 
2.91603409 7.33667162 7.50000000 
2.19371372 6.11646729 7.50000000 
2.88928149 4.88081733 7.50000000 
2.16696111 3.66061300 7.50000000 
2.86252888 2.42496304 7.50000000 
2.14020851 1.20475871 7.50000000 
7.08944070 195.18635644 7.50000000 
6.36712033 193.96615211 7.50000000 
7.06268810 192.73050215 7.50000000 
6.34036773 191.51029781 7.50000000 
7.03593549 190.27464786 7.50000000 
6.31361512 189.05444352 7.50000000 
7.00918288 187.81879357 7.50000000 
6.28686251 186.59858923 7.50000000 
6.98243028 185.36293928 7.50000000 
6.26010991 184.14273494 7.50000000 
6.95567767 182.90708498 7.50000000 
6.23335730 181.68688065 7.50000000 
6.92892506 180.45123069 7.50000000 
6.20660469 179.23102636 7.50000000 
6.90217246 177.99537640 7.50000000 
6.17985209 176.77517207 7.50000000 
6.87541985 175.53952211 7.50000000 
6.15309948 174.31931778 7.50000000 
6.84866724 173.08366782 7.50000000 
6.12634687 171.86346349 7.50000000 
6.82191464 170.62781353 7.50000000 
6.09959427 169.40760920 7.50000000 
6.79516203 168.17195924 7.50000000 
6.07284166 166.95175491 7.50000000 
6.76840942 165.71610495 7.50000000 
6.04608905 164.49590062 7.50000000 
