written by TR 
1.000000000 
104.228194000 0.000000000 0.000000000 
52.114097000 90.264263795 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
7204
Cartesian 
0.72340502 1.21956160 7.50000000 
0.00000000 0.00000000 7.50000000 
2.89362009 4.87824642 7.50000000 
2.17021507 3.65868481 7.50000000 
2.86468389 2.42241689 7.50000000 
2.14127886 1.20285528 7.50000000 
5.06383515 8.53693123 7.50000000 
4.34043013 7.31736963 7.50000000 
5.03489895 6.08110170 7.50000000 
4.31149393 4.86154010 7.50000000 
5.00596275 3.62527217 7.50000000 
4.28255773 2.40571056 7.50000000 
4.97702655 1.16944263 7.50000000 
7.23405022 12.19561605 7.50000000 
6.51064520 10.97605444 7.50000000 
7.20511402 9.73978651 7.50000000 
6.48170899 8.52022491 7.50000000 
7.17617781 7.28395698 7.50000000 
6.45277279 6.06439538 7.50000000 
7.14724161 4.82812745 7.50000000 
6.42383659 3.60856584 7.50000000 
7.11830541 2.37229791 7.50000000 
6.39490039 1.15273631 7.50000000 
9.40426528 15.85430086 7.50000000 
8.68086026 14.63473926 7.50000000 
9.37532908 13.39847133 7.50000000 
8.65192406 12.17890972 7.50000000 
9.34639288 10.94264180 7.50000000 
8.62298786 9.72308019 7.50000000 
9.31745668 8.48681226 7.50000000 
8.59405166 7.26725066 7.50000000 
9.28852048 6.03098273 7.50000000 
8.56511546 4.81142112 7.50000000 
9.25958428 3.57515320 7.50000000 
8.53617925 2.35559159 7.50000000 
9.23064807 1.11932366 7.50000000 
11.57448035 19.51298568 7.50000000 
10.85107533 18.29342407 7.50000000 
11.54554415 17.05715614 7.50000000 
10.82213912 15.83759454 7.50000000 
11.51660795 14.60132661 7.50000000 
10.79320292 13.38176501 7.50000000 
11.48767174 12.14549708 7.50000000 
10.76426672 10.92593547 7.50000000 
11.45873554 9.68966754 7.50000000 
10.73533052 8.47010594 7.50000000 
11.42979934 7.23383801 7.50000000 
10.70639432 6.01427641 7.50000000 
11.40086314 4.77800848 7.50000000 
10.67745812 3.55844687 7.50000000 
11.37192694 2.32217894 7.50000000 
10.64852192 1.10261734 7.50000000 
13.74469541 23.17167049 7.50000000 
13.02129039 21.95210889 7.50000000 
13.71575921 20.71584096 7.50000000 
12.99235419 19.49627935 7.50000000 
13.68682301 18.26001142 7.50000000 
12.96341799 17.04044982 7.50000000 
13.65788681 15.80418189 7.50000000 
12.93448179 14.58462029 7.50000000 
13.62895061 13.34835236 7.50000000 
12.90554559 12.12879075 7.50000000 
13.60001441 10.89252282 7.50000000 
12.87660938 9.67296122 7.50000000 
13.57107820 8.43669329 7.50000000 
12.84767318 7.21713169 7.50000000 
13.54214200 5.98086376 7.50000000 
12.81873698 4.76130215 7.50000000 
13.51320580 3.52503423 7.50000000 
12.78980078 2.30547262 7.50000000 
13.48426960 1.06920469 7.50000000 
15.91491048 26.83035531 7.50000000 
15.19150546 25.61079370 7.50000000 
15.88597428 24.37452577 7.50000000 
15.16256926 23.15496417 7.50000000 
15.85703808 21.91869624 7.50000000 
15.13363305 20.69913463 7.50000000 
15.82810187 19.46286671 7.50000000 
15.10469685 18.24330510 7.50000000 
15.79916567 17.00703717 7.50000000 
15.07576065 15.78747557 7.50000000 
15.77022947 14.55120764 7.50000000 
15.04682445 13.33164603 7.50000000 
15.74129327 12.09537811 7.50000000 
15.01788825 10.87581650 7.50000000 
15.71235707 9.63954857 7.50000000 
14.98895205 8.41998697 7.50000000 
15.68342087 7.18371904 7.50000000 
14.96001585 5.96415743 7.50000000 
15.65448467 4.72788951 7.50000000 
14.93107964 3.50832790 7.50000000 
15.62554846 2.27205997 7.50000000 
14.90214344 1.05249837 7.50000000 
18.08512554 30.48904012 7.50000000 
17.36172052 29.26947851 7.50000000 
18.05618934 28.03321059 7.50000000 
17.33278432 26.81364898 7.50000000 
18.02725314 25.57738105 7.50000000 
17.30384812 24.35781945 7.50000000 
17.99831694 23.12155152 7.50000000 
17.27491192 21.90198992 7.50000000 
17.96938074 20.66572199 7.50000000 
17.24597572 19.44616038 7.50000000 
17.94044454 18.20989245 7.50000000 
17.21703951 16.99033085 7.50000000 
17.91150834 15.75406292 7.50000000 
17.18810331 14.53450132 7.50000000 
17.88257213 13.29823339 7.50000000 
17.15916711 12.07867178 7.50000000 
17.85363593 10.84240385 7.50000000 
17.13023091 9.62284225 7.50000000 
17.82469973 8.38657432 7.50000000 
17.10129471 7.16701272 7.50000000 
17.79576353 5.93074479 7.50000000 
17.07235851 4.71118318 7.50000000 
17.76682733 3.47491525 7.50000000 
17.04342231 2.25535365 7.50000000 
17.73789113 1.01908572 7.50000000 
20.25534061 34.14772493 7.50000000 
19.53193559 32.92816333 7.50000000 
20.22640441 31.69189540 7.50000000 
19.50299939 30.47233380 7.50000000 
20.19746821 29.23606587 7.50000000 
19.47406318 28.01650426 7.50000000 
20.16853200 26.78023633 7.50000000 
19.44512698 25.56067473 7.50000000 
20.13959580 24.32440680 7.50000000 
19.41619078 23.10484520 7.50000000 
20.11065960 21.86857727 7.50000000 
19.38725458 20.64901566 7.50000000 
20.08172340 19.41274773 7.50000000 
19.35831838 18.19318613 7.50000000 
20.05278720 16.95691820 7.50000000 
19.32938218 15.73735660 7.50000000 
20.02385100 14.50108867 7.50000000 
19.30044598 13.28152706 7.50000000 
19.99491480 12.04525913 7.50000000 
19.27150977 10.82569753 7.50000000 
19.96597859 9.58942960 7.50000000 
19.24257357 8.36986800 7.50000000 
19.93704239 7.13360007 7.50000000 
19.21363737 5.91403846 7.50000000 
19.90810619 4.67777054 7.50000000 
19.18470117 3.45820893 7.50000000 
19.87916999 2.22194100 7.50000000 
19.15576497 1.00237940 7.50000000 
22.42555567 37.80640975 7.50000000 
21.70215065 36.58684814 7.50000000 
22.39661947 35.35058022 7.50000000 
21.67321445 34.13101861 7.50000000 
22.36768327 32.89475068 7.50000000 
21.64427825 31.67518908 7.50000000 
22.33874707 30.43892115 7.50000000 
21.61534205 29.21935954 7.50000000 
22.30981087 27.98309162 7.50000000 
21.58640585 26.76353001 7.50000000 
22.28087467 25.52726208 7.50000000 
21.55746965 24.30770048 7.50000000 
22.25193847 23.07143255 7.50000000 
21.52853344 21.85187094 7.50000000 
22.22300226 20.61560302 7.50000000 
21.49959724 19.39604141 7.50000000 
22.19406606 18.15977348 7.50000000 
21.47066104 16.94021188 7.50000000 
22.16512986 15.70394395 7.50000000 
21.44172484 14.48438234 7.50000000 
22.13619366 13.24811442 7.50000000 
21.41278864 12.02855281 7.50000000 
22.10725746 10.79228488 7.50000000 
21.38385244 9.57272328 7.50000000 
22.07832126 8.33645535 7.50000000 
21.35491624 7.11689374 7.50000000 
22.04938506 5.88062582 7.50000000 
21.32598003 4.66106421 7.50000000 
22.02044885 3.42479628 7.50000000 
21.29704383 2.20523468 7.50000000 
21.99151265 0.96896675 7.50000000 
24.59577074 41.46509456 7.50000000 
23.87236572 40.24553296 7.50000000 
24.56683454 39.00926503 7.50000000 
23.84342952 37.78970342 7.50000000 
24.53789834 36.55343550 7.50000000 
23.81449331 35.33387389 7.50000000 
24.50896213 34.09760596 7.50000000 
23.78555711 32.87804436 7.50000000 
24.48002593 31.64177643 7.50000000 
23.75662091 30.42221482 7.50000000 
24.45108973 29.18594690 7.50000000 
23.72768471 27.96638529 7.50000000 
24.42215353 26.73011736 7.50000000 
23.69874851 25.51055576 7.50000000 
24.39321733 24.27428783 7.50000000 
23.66981231 23.05472623 7.50000000 
24.36428113 21.81845830 7.50000000 
23.64087611 20.59889669 7.50000000 
24.33534493 19.36262876 7.50000000 
23.61193990 18.14306716 7.50000000 
24.30640873 16.90679923 7.50000000 
23.58300370 15.68723763 7.50000000 
24.27747252 14.45096970 7.50000000 
23.55406750 13.23140809 7.50000000 
24.24853632 11.99514016 7.50000000 
23.52513130 10.77557856 7.50000000 
24.21960012 9.53931063 7.50000000 
23.49619510 8.31974903 7.50000000 
24.19066392 7.08348110 7.50000000 
23.46725890 5.86391949 7.50000000 
24.16172772 4.62765156 7.50000000 
23.43832270 3.40808996 7.50000000 
24.13279152 2.17182203 7.50000000 
23.40938650 0.95226043 7.50000000 
26.76598580 45.12377938 7.50000000 
26.04258078 43.90421777 7.50000000 
26.73704960 42.66794984 7.50000000 
26.01364458 41.44838824 7.50000000 
26.70811340 40.21212031 7.50000000 
25.98470838 38.99255871 7.50000000 
26.67917720 37.75629078 7.50000000 
25.95577218 36.53672917 7.50000000 
26.65024100 35.30046124 7.50000000 
25.92683598 34.08089964 7.50000000 
26.62130480 32.84463171 7.50000000 
25.89789978 31.62507011 7.50000000 
26.59236860 30.38880218 7.50000000 
25.86896357 29.16924057 7.50000000 
26.56343239 27.93297264 7.50000000 
25.84002737 26.71341104 7.50000000 
26.53449619 25.47714311 7.50000000 
25.81109117 24.25758151 7.50000000 
26.50555999 23.02131358 7.50000000 
25.78215497 21.80175197 7.50000000 
26.47662379 20.56548404 7.50000000 
25.75321877 19.34592244 7.50000000 
26.44768759 18.10965451 7.50000000 
25.72428257 16.89009291 7.50000000 
26.41875139 15.65382498 7.50000000 
25.69534637 14.43426337 7.50000000 
26.38981519 13.19799545 7.50000000 
25.66641016 11.97843384 7.50000000 
26.36087898 10.74216591 7.50000000 
25.63747396 9.52260431 7.50000000 
26.33194278 8.28633638 7.50000000 
25.60853776 7.06677477 7.50000000 
26.30300658 5.83050685 7.50000000 
25.57960156 4.61094524 7.50000000 
26.27407038 3.37467731 7.50000000 
25.55066536 2.15511571 7.50000000 
26.24513418 0.91884778 7.50000000 
28.93620087 48.78246419 7.50000000 
28.21279585 47.56290259 7.50000000 
28.90726467 46.32663466 7.50000000 
28.18385965 45.10707305 7.50000000 
28.87832847 43.87080512 7.50000000 
28.15492344 42.65124352 7.50000000 
28.84939227 41.41497559 7.50000000 
28.12598724 40.19541399 7.50000000 
28.82045606 38.95914606 7.50000000 
28.09705104 37.73958445 7.50000000 
28.79151986 36.50331653 7.50000000 
28.06811484 35.28375492 7.50000000 
28.76258366 34.04748699 7.50000000 
28.03917864 32.82792539 7.50000000 
28.73364746 31.59165746 7.50000000 
28.01024244 30.37209585 7.50000000 
28.70471126 29.13582793 7.50000000 
27.98130624 27.91626632 7.50000000 
28.67577506 26.67999839 7.50000000 
27.95237004 25.46043679 7.50000000 
28.64683886 24.22416886 7.50000000 
27.92343383 23.00460725 7.50000000 
28.61790265 21.76833933 7.50000000 
27.89449763 20.54877772 7.50000000 
28.58896645 19.31250979 7.50000000 
27.86556143 18.09294819 7.50000000 
28.56003025 16.85668026 7.50000000 
27.83662523 15.63711865 7.50000000 
28.53109405 14.40085073 7.50000000 
27.80768903 13.18128912 7.50000000 
28.50215785 11.94502119 7.50000000 
27.77875283 10.72545959 7.50000000 
28.47322165 9.48919166 7.50000000 
27.74981663 8.26963005 7.50000000 
28.44428545 7.03336213 7.50000000 
27.72088042 5.81380052 7.50000000 
28.41534924 4.57753259 7.50000000 
27.69194422 3.35797099 7.50000000 
28.38641304 2.12170306 7.50000000 
27.66300802 0.90214146 7.50000000 
31.10641593 52.44114901 7.50000000 
30.38301091 51.22158740 7.50000000 
31.07747973 49.98531947 7.50000000 
30.35407471 48.76575787 7.50000000 
31.04854353 47.52948994 7.50000000 
30.32513851 46.30992833 7.50000000 
31.01960733 45.07366041 7.50000000 
30.29620231 43.85409880 7.50000000 
30.99067113 42.61783087 7.50000000 
30.26726611 41.39826927 7.50000000 
30.96173493 40.16200134 7.50000000 
30.23832991 38.94243973 7.50000000 
30.93279873 37.70617181 7.50000000 
30.20939370 36.48661020 7.50000000 
30.90386252 35.25034227 7.50000000 
30.18045750 34.03078067 7.50000000 
30.87492632 32.79451274 7.50000000 
30.15152130 31.57495114 7.50000000 
30.84599012 30.33868321 7.50000000 
30.12258510 29.11912160 7.50000000 
30.81705392 27.88285367 7.50000000 
30.09364890 26.66329207 7.50000000 
30.78811772 25.42702414 7.50000000 
30.06471270 24.20746254 7.50000000 
30.75918152 22.97119461 7.50000000 
30.03577650 21.75163300 7.50000000 
30.73024532 20.51536507 7.50000000 
30.00684029 19.29580347 7.50000000 
30.70130912 18.05953554 7.50000000 
29.97790409 16.83997394 7.50000000 
30.67237291 15.60370601 7.50000000 
29.94896789 14.38414440 7.50000000 
30.64343671 13.14787647 7.50000000 
29.92003169 11.92831487 7.50000000 
30.61450051 10.69204694 7.50000000 
29.89109549 9.47248534 7.50000000 
30.58556431 8.23621741 7.50000000 
29.86215929 7.01665580 7.50000000 
30.55662811 5.78038787 7.50000000 
29.83322309 4.56082627 7.50000000 
30.52769191 3.32455834 7.50000000 
29.80428689 2.10499674 7.50000000 
30.49875571 0.86872881 7.50000000 
33.27663100 56.09983382 7.50000000 
32.55322598 54.88027222 7.50000000 
33.24769480 53.64400429 7.50000000 
32.52428978 52.42444268 7.50000000 
33.21875860 51.18817475 7.50000000 
32.49535358 49.96861315 7.50000000 
33.18982240 48.73234522 7.50000000 
32.46641737 47.51278362 7.50000000 
33.16088619 46.27651569 7.50000000 
32.43748117 45.05695408 7.50000000 
33.13194999 43.82068615 7.50000000 
32.40854497 42.60112455 7.50000000 
33.10301379 41.36485662 7.50000000 
32.37960877 40.14529502 7.50000000 
33.07407759 38.90902709 7.50000000 
32.35067257 37.68946548 7.50000000 
33.04514139 36.45319755 7.50000000 
32.32173637 35.23363595 7.50000000 
33.01620519 33.99736802 7.50000000 
32.29280017 32.77780642 7.50000000 
32.98726899 31.54153849 7.50000000 
32.26386396 30.32197688 7.50000000 
32.95833278 29.08570895 7.50000000 
32.23492776 27.86614735 7.50000000 
32.92939658 26.62987942 7.50000000 
32.20599156 25.41031782 7.50000000 
32.90046038 24.17404989 7.50000000 
32.17705536 22.95448828 7.50000000 
32.87152418 21.71822035 7.50000000 
32.14811916 20.49865875 7.50000000 
32.84258798 19.26239082 7.50000000 
32.11918296 18.04282922 7.50000000 
32.81365178 16.80656129 7.50000000 
32.09024676 15.58699968 7.50000000 
32.78471558 14.35073176 7.50000000 
32.06131055 13.13117015 7.50000000 
32.75577937 11.89490222 7.50000000 
32.03237435 10.67534062 7.50000000 
32.72684317 9.43907269 7.50000000 
32.00343815 8.21951108 7.50000000 
32.69790697 6.98324316 7.50000000 
31.97450195 5.76368155 7.50000000 
32.66897077 4.52741362 7.50000000 
31.94556575 3.30785202 7.50000000 
32.64003457 2.07158409 7.50000000 
31.91662955 0.85202248 7.50000000 
35.44684607 59.75851863 7.50000000 
34.72344104 58.53895703 7.50000000 
35.41790986 57.30268910 7.50000000 
34.69450484 56.08312750 7.50000000 
35.38897366 54.84685957 7.50000000 
34.66556864 53.62729796 7.50000000 
35.36003746 52.39103003 7.50000000 
34.63663244 51.17146843 7.50000000 
35.33110126 49.93520050 7.50000000 
34.60769624 48.71563890 7.50000000 
35.30216506 47.47937097 7.50000000 
34.57876004 46.25980936 7.50000000 
35.27322886 45.02354144 7.50000000 
34.54982384 43.80397983 7.50000000 
35.24429266 42.56771190 7.50000000 
34.52088763 41.34815030 7.50000000 
35.21535645 40.11188237 7.50000000 
34.49195143 38.89232076 7.50000000 
35.18642025 37.65605284 7.50000000 
34.46301523 36.43649123 7.50000000 
35.15748405 35.20022330 7.50000000 
34.43407903 33.98066170 7.50000000 
35.12854785 32.74439377 7.50000000 
34.40514283 31.52483216 7.50000000 
35.09961165 30.28856424 7.50000000 
34.37620663 29.06900263 7.50000000 
35.07067545 27.83273470 7.50000000 
34.34727043 26.61317310 7.50000000 
35.04173925 25.37690517 7.50000000 
34.31833422 24.15734356 7.50000000 
35.01280304 22.92107564 7.50000000 
34.28939802 21.70151403 7.50000000 
34.98386684 20.46524610 7.50000000 
34.26046182 19.24568450 7.50000000 
34.95493064 18.00941657 7.50000000 
34.23152562 16.78985496 7.50000000 
34.92599444 15.55358704 7.50000000 
34.20258942 14.33402543 7.50000000 
34.89705824 13.09775750 7.50000000 
34.17365322 11.87819590 7.50000000 
34.86812204 10.64192797 7.50000000 
34.14471702 9.42236637 7.50000000 
34.83918584 8.18609844 7.50000000 
34.11578081 6.96653683 7.50000000 
34.81024963 5.73026890 7.50000000 
34.08684461 4.51070730 7.50000000 
34.78131343 3.27443937 7.50000000 
34.05790841 2.05487777 7.50000000 
34.75237723 0.81860984 7.50000000 
37.61706113 63.41720345 7.50000000 
36.89365611 62.19764184 7.50000000 
37.58812493 60.96137392 7.50000000 
36.86471991 59.74181231 7.50000000 
37.55918873 58.50554438 7.50000000 
36.83578371 57.28598278 7.50000000 
37.53025253 56.04971485 7.50000000 
36.80684750 54.83015324 7.50000000 
37.50131632 53.59388532 7.50000000 
36.77791130 52.37432371 7.50000000 
37.47238012 51.13805578 7.50000000 
36.74897510 49.91849418 7.50000000 
37.44344392 48.68222625 7.50000000 
36.72003890 47.46266464 7.50000000 
37.41450772 46.22639672 7.50000000 
36.69110270 45.00683511 7.50000000 
37.38557152 43.77056718 7.50000000 
36.66216650 42.55100558 7.50000000 
37.35663532 41.31473765 7.50000000 
36.63323030 40.09517604 7.50000000 
37.32769912 38.85890812 7.50000000 
36.60429409 37.63934651 7.50000000 
37.29876292 36.40307858 7.50000000 
36.57535789 35.18351698 7.50000000 
37.26982671 33.94724905 7.50000000 
36.54642169 32.72768745 7.50000000 
37.24089051 31.49141952 7.50000000 
36.51748549 30.27185791 7.50000000 
37.21195431 29.03558998 7.50000000 
36.48854929 27.81602838 7.50000000 
37.18301811 26.57976045 7.50000000 
36.45961309 25.36019885 7.50000000 
37.15408191 24.12393092 7.50000000 
36.43067689 22.90436931 7.50000000 
37.12514571 21.66810138 7.50000000 
36.40174069 20.44853978 7.50000000 
37.09620951 19.21227185 7.50000000 
36.37280448 17.99271025 7.50000000 
37.06727330 16.75644232 7.50000000 
36.34386828 15.53688071 7.50000000 
37.03833710 14.30061278 7.50000000 
36.31493208 13.08105118 7.50000000 
37.00940090 11.84478325 7.50000000 
36.28599588 10.62522165 7.50000000 
36.98046470 9.38895372 7.50000000 
36.25705968 8.16939211 7.50000000 
36.95152850 6.93312418 7.50000000 
36.22812348 5.71356258 7.50000000 
36.92259230 4.47729465 7.50000000 
36.19918728 3.25773305 7.50000000 
36.89365610 2.02146512 7.50000000 
36.17025107 0.80190351 7.50000000 
39.78727620 67.07588826 7.50000000 
39.06387117 65.85632666 7.50000000 
39.75833999 64.62005873 7.50000000 
39.03493497 63.40049713 7.50000000 
39.72940379 62.16422920 7.50000000 
39.00599877 60.94466759 7.50000000 
39.70046759 59.70839966 7.50000000 
38.97706257 58.48883806 7.50000000 
39.67153139 57.25257013 7.50000000 
38.94812637 56.03300853 7.50000000 
39.64259519 54.79674060 7.50000000 
38.91919017 53.57717899 7.50000000 
39.61365899 52.34091106 7.50000000 
38.89025397 51.12134946 7.50000000 
39.58472279 49.88508153 7.50000000 
38.86131776 48.66551993 7.50000000 
39.55578658 47.42925200 7.50000000 
38.83238156 46.20969039 7.50000000 
39.52685038 44.97342246 7.50000000 
38.80344536 43.75386086 7.50000000 
39.49791418 42.51759293 7.50000000 
38.77450916 41.29803133 7.50000000 
39.46897798 40.06176340 7.50000000 
38.74557296 38.84220179 7.50000000 
39.44004178 37.60593386 7.50000000 
38.71663676 36.38637226 7.50000000 
39.41110558 35.15010433 7.50000000 
38.68770056 33.93054273 7.50000000 
39.38216938 32.69427480 7.50000000 
38.65876435 31.47471319 7.50000000 
39.35323317 30.23844526 7.50000000 
38.62982815 29.01888366 7.50000000 
39.32429697 27.78261573 7.50000000 
38.60089195 26.56305413 7.50000000 
39.29536077 25.32678620 7.50000000 
38.57195575 24.10722459 7.50000000 
39.26642457 22.87095667 7.50000000 
38.54301955 21.65139506 7.50000000 
39.23748837 20.41512713 7.50000000 
38.51408335 19.19556553 7.50000000 
39.20855217 17.95929760 7.50000000 
38.48514715 16.73973599 7.50000000 
39.17961597 15.50346807 7.50000000 
38.45621094 14.28390646 7.50000000 
39.15067977 13.04763853 7.50000000 
38.42727474 11.82807693 7.50000000 
39.12174356 10.59180900 7.50000000 
38.39833854 9.37224739 7.50000000 
39.09280736 8.13597947 7.50000000 
38.36940234 6.91641786 7.50000000 
39.06387116 5.68014993 7.50000000 
38.34046614 4.46058833 7.50000000 
39.03493496 3.22432040 7.50000000 
38.31152994 2.00475879 7.50000000 
39.00599876 0.76849087 7.50000000 
41.95749126 70.73457308 7.50000000 
41.23408624 69.51501147 7.50000000 
41.92855506 68.27874354 7.50000000 
41.20515004 67.05918194 7.50000000 
41.89961886 65.82291401 7.50000000 
41.17621384 64.60335241 7.50000000 
41.87068266 63.36708448 7.50000000 
41.14727763 62.14752287 7.50000000 
41.84174646 60.91125494 7.50000000 
41.11834143 59.69169334 7.50000000 
41.81281025 58.45542541 7.50000000 
41.08940523 57.23586381 7.50000000 
41.78387405 55.99959588 7.50000000 
41.06046903 54.78003427 7.50000000 
41.75493785 53.54376634 7.50000000 
41.03153283 52.32420474 7.50000000 
41.72600165 51.08793681 7.50000000 
41.00259663 49.86837521 7.50000000 
41.69706545 48.63210728 7.50000000 
40.97366043 47.41254567 7.50000000 
41.66812925 46.17627775 7.50000000 
40.94472423 44.95671614 7.50000000 
41.63919305 43.72044821 7.50000000 
40.91578802 42.50088661 7.50000000 
41.61025684 41.26461868 7.50000000 
40.88685182 40.04505707 7.50000000 
41.58132064 38.80878915 7.50000000 
40.85791562 37.58922754 7.50000000 
41.55238444 36.35295961 7.50000000 
40.82897942 35.13339801 7.50000000 
41.52344824 33.89713008 7.50000000 
40.80004322 32.67756847 7.50000000 
41.49451204 31.44130055 7.50000000 
