written by TR 
1.000000000 
23.428746800 0.000000000 0.000000000 
0.000000000 40.579779800 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
728
Cartesian 
0.64364689 39.31630680 3.00000000 
0.51491751 36.86368274 3.00000000 
0.38618813 34.41105869 3.00000000 
0.25745876 31.95843464 3.00000000 
0.12872938 29.50581058 3.00000000 
0.00000000 27.05318653 3.00000000 
2.83204632 40.43113591 3.00000000 
2.05967005 39.24198485 3.00000000 
2.70331694 37.97851186 3.00000000 
1.93094067 36.78936080 3.00000000 
2.57458756 35.52588780 3.00000000 
1.80221129 34.33673675 3.00000000 
2.44585818 33.07326375 3.00000000 
1.67348191 31.88411269 3.00000000 
2.31712880 30.62063970 3.00000000 
1.54475254 29.43148864 3.00000000 
2.18839943 28.16801564 3.00000000 
1.41602316 26.97886459 3.00000000 
2.05967005 25.71539159 3.00000000 
1.28729378 24.52624053 3.00000000 
1.93094067 23.26276754 3.00000000 
1.15856440 22.07361648 3.00000000 
1.80221129 20.81014348 3.00000000 
1.02983502 19.62099243 3.00000000 
1.67348191 18.35751943 3.00000000 
0.90110565 17.16836837 3.00000000 
1.54475254 15.90489538 3.00000000 
0.77237627 14.71574432 3.00000000 
1.41602316 13.45227132 3.00000000 
0.64364689 12.26312027 3.00000000 
1.28729378 10.99964727 3.00000000 
0.51491751 9.81049621 3.00000000 
1.15856440 8.54702322 3.00000000 
0.38618813 7.35787216 3.00000000 
1.02983502 6.09439916 3.00000000 
0.25745876 4.90524811 3.00000000 
0.90110565 3.64177511 3.00000000 
0.12872938 2.45262405 3.00000000 
0.77237627 1.18915106 3.00000000 
0.00000000 0.00000000 3.00000000 
4.24806947 40.35681397 3.00000000 
4.89171636 39.09334097 3.00000000 
4.11934010 37.90418992 3.00000000 
4.76298698 36.64071692 3.00000000 
3.99061072 35.45156586 3.00000000 
4.63425761 34.18809287 3.00000000 
3.86188134 32.99894181 3.00000000 
4.50552823 31.73546881 3.00000000 
3.73315196 30.54631776 3.00000000 
4.37679885 29.28284476 3.00000000 
3.60442258 28.09369370 3.00000000 
