written by TR 
1.000000000 
125.496555000 0.000000000 0.000000000 
62.748277500 108.683204717 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
10444
Cartesian 
0.72096800 1.22100000 7.50000000 
2.88387000 4.88401000 7.50000000 
2.16290000 3.66301000 7.50000000 
2.85984000 2.42813000 7.50000000 
2.13887000 1.20713000 7.50000000 
5.04678000 8.54703000 7.50000000 
4.32581000 7.32602000 7.50000000 
5.02275000 6.09114000 7.50000000 
4.30178000 4.87014000 7.50000000 
4.99871000 3.63526000 7.50000000 
4.27775000 2.41426000 7.50000000 
4.97468000 1.17938000 7.50000000 
6.46468000 8.53315000 7.50000000 
7.16162000 7.29827000 7.50000000 
6.44065000 6.07727000 7.50000000 
7.13759000 4.84239000 7.50000000 
6.41662000 3.62139000 7.50000000 
7.11355000 2.38651000 7.50000000 
6.39259000 1.16550000 7.50000000 
9.30049000 8.50540000 7.50000000 
8.57952000 7.28440000 7.50000000 
9.27646000 6.04952000 7.50000000 
8.55549000 4.82851000 7.50000000 
9.25243000 3.59364000 7.50000000 
8.53146000 2.37263000 7.50000000 
9.22839000 1.13775000 7.50000000 
10.71840000 8.49153000 7.50000000 
11.41530000 7.25665000 7.50000000 
10.69440000 6.03564000 7.50000000 
11.39130000 4.80076000 7.50000000 
10.67030000 3.57976000 7.50000000 
11.36730000 2.34488000 7.50000000 
10.64630000 1.12388000 7.50000000 
13.55420000 8.46378000 7.50000000 
12.83320000 7.24277000 7.50000000 
13.53020000 6.00789000 7.50000000 
12.80920000 4.78689000 7.50000000 
13.50610000 3.55201000 7.50000000 
12.78520000 2.33101000 7.50000000 
13.48210000 1.09613000 7.50000000 
14.97210000 8.44990000 7.50000000 
15.66900000 7.21502000 7.50000000 
14.94810000 5.99402000 7.50000000 
15.64500000 4.75914000 7.50000000 
14.92400000 3.53814000 7.50000000 
15.62100000 2.30326000 7.50000000 
14.90000000 1.08225000 7.50000000 
17.80790000 8.42215000 7.50000000 
17.08690000 7.20115000 7.50000000 
17.78390000 5.96627000 7.50000000 
17.06290000 4.74526000 7.50000000 
17.75990000 3.51039000 7.50000000 
17.03890000 2.28938000 7.50000000 
17.73580000 1.05450000 7.50000000 
19.22580000 8.40828000 7.50000000 
19.20180000 5.95239000 7.50000000 
19.17780000 3.49651000 7.50000000 
19.15370000 1.04063000 7.50000000 
19.92280000 7.17340000 7.50000000 
19.89870000 4.71751000 7.50000000 
19.87470000 2.26163000 7.50000000 
22.06160000 8.38053000 7.50000000 
21.34070000 7.15952000 7.50000000 
22.03760000 5.92464000 7.50000000 
21.31660000 4.70364000 7.50000000 
22.01360000 3.46876000 7.50000000 
21.29260000 2.24776000 7.50000000 
21.98950000 1.01288000 7.50000000 
23.47950000 8.36665000 7.50000000 
24.17650000 7.13177000 7.50000000 
23.45550000 5.91077000 7.50000000 
24.15240000 4.67589000 7.50000000 
23.43150000 3.45489000 7.50000000 
24.12840000 2.22001000 7.50000000 
23.40740000 0.99900300 7.50000000 
26.31530000 8.33890000 7.50000000 
25.59440000 7.11790000 7.50000000 
26.29130000 5.88302000 7.50000000 
25.57030000 4.66201000 7.50000000 
26.26730000 3.42714000 7.50000000 
25.54630000 2.20613000 7.50000000 
26.24320000 0.97125300 7.50000000 
27.73320000 8.32503000 7.50000000 
28.43020000 7.09015000 7.50000000 
27.70920000 5.86914000 7.50000000 
28.40620000 4.63426000 7.50000000 
27.68520000 3.41326000 7.50000000 
28.38210000 2.17838000 7.50000000 
27.66120000 0.95737800 7.50000000 
30.56910000 8.29728000 7.50000000 
29.84810000 7.07627000 7.50000000 
30.54500000 5.84139000 7.50000000 
29.82410000 4.62039000 7.50000000 
30.52100000 3.38551000 7.50000000 
29.80000000 2.16451000 7.50000000 
30.49700000 0.92962800 7.50000000 
31.98700000 8.28340000 7.50000000 
32.68390000 7.04852000 7.50000000 
31.96290000 5.82752000 7.50000000 
32.65990000 4.59264000 7.50000000 
31.93890000 3.37164000 7.50000000 
32.63580000 2.13676000 7.50000000 
31.91490000 0.91575300 7.50000000 
34.82280000 8.25565000 7.50000000 
34.10180000 7.03465000 7.50000000 
34.79870000 5.79977000 7.50000000 
34.07780000 4.57876000 7.50000000 
34.77470000 3.34389000 7.50000000 
34.05370000 2.12288000 7.50000000 
34.75070000 0.88800300 7.50000000 
36.24070000 8.24177000 7.50000000 
36.93760000 7.00690000 7.50000000 
36.21660000 5.78589000 7.50000000 
36.91360000 4.55101000 7.50000000 
36.19260000 3.33001000 7.50000000 
36.88950000 2.09513000 7.50000000 
36.16860000 0.87412800 7.50000000 
38.35550000 6.99302000 7.50000000 
38.33150000 4.53714000 7.50000000 
38.30750000 2.08126000 7.50000000 
39.07650000 8.21402000 7.50000000 
39.05250000 5.75814000 7.50000000 
39.02840000 3.30226000 7.50000000 
39.00440000 0.84637800 7.50000000 
