written by TR 
1.000000000 
108.481827000 0.000000000 0.000000000 
54.240913500 93.948018031 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
7804
Cartesian 
0.72284150 1.21989569 7.50000000 
0.00000000 0.00000000 7.50000000 
2.89136601 4.87958276 7.50000000 
2.16852451 3.65968707 7.50000000 
2.86356442 2.42374012 7.50000000 
2.14072291 1.20384443 7.50000000 
5.05989052 8.53926983 7.50000000 
4.33704902 7.31937414 7.50000000 
5.03208892 6.08342719 7.50000000 
4.30924742 4.86353150 7.50000000 
5.00428733 3.62758455 7.50000000 
4.28144582 2.40768886 7.50000000 
4.97648573 1.17174191 7.50000000 
7.22841503 12.19895690 7.50000000 
6.50557353 10.97906121 7.50000000 
7.20061343 9.74311426 7.50000000 
6.47777193 8.52321857 7.50000000 
7.17281184 7.28727162 7.50000000 
6.44997033 6.06737593 7.50000000 
7.14501024 4.83142898 7.50000000 
6.42216874 3.61153329 7.50000000 
7.11720864 2.37558634 7.50000000 
6.39436714 1.15569065 7.50000000 
9.39693954 15.85864397 7.50000000 
8.67409804 14.63874828 7.50000000 
9.36913794 13.40280133 7.50000000 
8.64629644 12.18290564 7.50000000 
9.34133634 10.94695869 7.50000000 
8.61849484 9.72706300 7.50000000 
9.31353475 8.49111605 7.50000000 
8.59069325 7.27122036 7.50000000 
9.28573315 6.03527341 7.50000000 
8.56289165 4.81537772 7.50000000 
9.25793155 3.57943077 7.50000000 
8.53509005 2.35953508 7.50000000 
9.23012996 1.12358813 7.50000000 
11.56546405 19.51833104 7.50000000 
10.84262254 18.29843535 7.50000000 
11.53766245 17.06248840 7.50000000 
10.81482095 15.84259271 7.50000000 
11.50986085 14.60664576 7.50000000 
10.78701935 13.38675007 7.50000000 
11.48205926 12.15080312 7.50000000 
10.75921775 10.93090743 7.50000000 
11.45425766 9.69496048 7.50000000 
10.73141616 8.47506479 7.50000000 
11.42645606 7.23911784 7.50000000 
10.70361456 6.01922215 7.50000000 
11.39865447 4.78327520 7.50000000 
10.67581296 3.56337951 7.50000000 
11.37085287 2.32743256 7.50000000 
10.64801137 1.10753687 7.50000000 
13.73398856 23.17801811 7.50000000 
13.01114705 21.95812242 7.50000000 
13.70618696 20.72217547 7.50000000 
12.98334546 19.50227978 7.50000000 
13.67838536 18.26633283 7.50000000 
12.95554386 17.04643714 7.50000000 
13.65058377 15.81049019 7.50000000 
12.92774226 14.59059450 7.50000000 
13.62278217 13.35464755 7.50000000 
12.89994067 12.13475186 7.50000000 
13.59498057 10.89880491 7.50000000 
12.87213907 9.67890922 7.50000000 
13.56717898 8.44296228 7.50000000 
12.84433747 7.22306659 7.50000000 
13.53937738 5.98711964 7.50000000 
12.81653588 4.76722395 7.50000000 
13.51157578 3.53127700 7.50000000 
12.78873428 2.31138131 7.50000000 
13.48377419 1.07543436 7.50000000 
15.90251306 26.83770518 7.50000000 
15.17967156 25.61780949 7.50000000 
15.87471147 24.38186254 7.50000000 
15.15186997 23.16196685 7.50000000 
15.84690987 21.92601990 7.50000000 
15.12406837 20.70612421 7.50000000 
15.81910827 19.47017727 7.50000000 
15.09626677 18.25028157 7.50000000 
15.79130668 17.01433463 7.50000000 
15.06846517 15.79443894 7.50000000 
15.76350508 14.55849199 7.50000000 
15.04066358 13.33859630 7.50000000 
15.73570348 12.10264935 7.50000000 
15.01286198 10.88275366 7.50000000 
15.70790189 9.64680671 7.50000000 
14.98506038 8.42691102 7.50000000 
15.68010029 7.19096407 7.50000000 
14.95725879 5.97106838 7.50000000 
15.65229869 4.73512143 7.50000000 
14.92945719 3.51522574 7.50000000 
15.62449710 2.27927879 7.50000000 
14.90165559 1.05938310 7.50000000 
18.07103757 30.49739225 7.50000000 
17.34819607 29.27749656 7.50000000 
18.04323598 28.04154962 7.50000000 
17.32039447 26.82165392 7.50000000 
18.01543438 25.58570698 7.50000000 
17.29259288 24.36581129 7.50000000 
17.98763278 23.12986434 7.50000000 
17.26479128 21.90996865 7.50000000 
17.95983119 20.67402170 7.50000000 
17.23698968 19.45412601 7.50000000 
17.93202959 18.21817906 7.50000000 
17.20918809 16.99828337 7.50000000 
17.90422799 15.76233642 7.50000000 
17.18138649 14.54244073 7.50000000 
17.87642640 13.30649378 7.50000000 
17.15358489 12.08659809 7.50000000 
17.84862480 10.85065114 7.50000000 
17.12578330 9.63075545 7.50000000 
17.82082320 8.39480850 7.50000000 
17.09798170 7.17491281 7.50000000 
17.79302161 5.93896586 7.50000000 
17.07018010 4.71907017 7.50000000 
17.76522001 3.48312322 7.50000000 
17.04237851 2.26322753 7.50000000 
17.73741841 1.02728058 7.50000000 
20.23956208 34.15707933 7.50000000 
19.51672058 32.93718364 7.50000000 
20.21176049 31.70123669 7.50000000 
19.48891898 30.48134100 7.50000000 
20.18395889 29.24539405 7.50000000 
19.46111739 28.02549836 7.50000000 
20.15615729 26.78955141 7.50000000 
19.43331579 25.56965572 7.50000000 
20.12835570 24.33370877 7.50000000 
19.40551419 23.11381308 7.50000000 
20.10055410 21.87786613 7.50000000 
19.37771260 20.65797044 7.50000000 
20.07275250 19.42202349 7.50000000 
19.34991100 18.20212780 7.50000000 
20.04495091 16.96618085 7.50000000 
19.32210940 15.74628516 7.50000000 
20.01714931 14.51033821 7.50000000 
19.29430781 13.29044252 7.50000000 
19.98934771 12.05449557 7.50000000 
19.26650621 10.83459988 7.50000000 
19.96154612 9.59865293 7.50000000 
19.23870461 8.37875724 7.50000000 
19.93374452 7.14281029 7.50000000 
19.21090302 5.92291460 7.50000000 
19.90594292 4.68696765 7.50000000 
19.18310142 3.46707196 7.50000000 
19.87814132 2.23112501 7.50000000 
19.15529982 1.01122932 7.50000000 
22.40808659 37.81676640 7.50000000 
21.68524509 36.59687071 7.50000000 
22.38028499 35.36092376 7.50000000 
21.65744349 34.14102807 7.50000000 
22.35248340 32.90508112 7.50000000 
21.62964189 31.68518543 7.50000000 
22.32468180 30.44923848 7.50000000 
21.60184030 29.22934279 7.50000000 
22.29688020 27.99339584 7.50000000 
21.57403870 26.77350015 7.50000000 
22.26907861 25.53755320 7.50000000 
21.54623710 24.31765751 7.50000000 
22.24127701 23.08171056 7.50000000 
21.51843551 21.86181487 7.50000000 
22.21347541 20.62586792 7.50000000 
21.49063391 19.40597223 7.50000000 
22.18567382 18.17002528 7.50000000 
21.46283231 16.95012959 7.50000000 
22.15787222 15.71418264 7.50000000 
21.43503072 14.49428695 7.50000000 
22.13007062 13.25834000 7.50000000 
21.40722912 12.03844431 7.50000000 
22.10226903 10.80249736 7.50000000 
21.37942752 9.58260167 7.50000000 
22.07446743 8.34665472 7.50000000 
21.35162593 7.12675903 7.50000000 
22.04666583 5.89081208 7.50000000 
21.32382433 4.67091639 7.50000000 
22.01886424 3.43496944 7.50000000 
21.29602273 2.21507375 7.50000000 
21.99106264 0.97912680 7.50000000 
24.57661110 41.47645347 7.50000000 
23.85376960 40.25655778 7.50000000 
24.54880950 39.02061083 7.50000000 
23.82596800 37.80071514 7.50000000 
24.52100791 36.56476819 7.50000000 
23.79816640 35.34487250 7.50000000 
24.49320631 34.10892555 7.50000000 
23.77036481 32.88902986 7.50000000 
24.46540471 31.65308291 7.50000000 
23.74256321 30.43318722 7.50000000 
24.43760312 29.19724027 7.50000000 
23.71476161 27.97734458 7.50000000 
24.40980152 26.74139763 7.50000000 
23.68696002 25.52150194 7.50000000 
24.38199992 24.28555499 7.50000000 
23.65915842 23.06565930 7.50000000 
24.35419833 21.82971235 7.50000000 
23.63135682 20.60981666 7.50000000 
24.32639673 19.37386971 7.50000000 
23.60355523 18.15397402 7.50000000 
24.29859513 16.91802707 7.50000000 
23.57575363 15.69813138 7.50000000 
24.27079354 14.46218443 7.50000000 
23.54795203 13.24228874 7.50000000 
24.24299194 12.00634179 7.50000000 
23.52015044 10.78644610 7.50000000 
24.21519034 9.55049915 7.50000000 
23.49234884 8.33060346 7.50000000 
24.18738875 7.09465651 7.50000000 
23.46454724 5.87476082 7.50000000 
24.15958715 4.63881387 7.50000000 
23.43674565 3.41891818 7.50000000 
24.13178555 2.18297123 7.50000000 
23.40894405 0.96307554 7.50000000 
26.74513561 45.13614054 7.50000000 
26.02229411 43.91624485 7.50000000 
26.71733401 42.68029790 7.50000000 
25.99449251 41.46040221 7.50000000 
