written by TR 
1.000000000 
99.974584900 0.000000000 0.000000000 
0.000000000 173.161060000 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
13256
Cartesian 
0.69384901 171.92444741 7.50000000 
0.66368166 169.46863270 7.50000000 
0.63351431 167.01281798 7.50000000 
0.60334697 164.55700326 7.50000000 
0.57317962 162.10118854 7.50000000 
0.54301227 159.64537382 7.50000000 
0.51284492 157.18955910 7.50000000 
0.48267758 154.73374439 7.50000000 
0.45251023 152.27792967 7.50000000 
0.42234288 149.82211495 7.50000000 
0.39217554 147.36630023 7.50000000 
0.36200819 144.91048551 7.50000000 
0.33184084 142.45467079 7.50000000 
0.30167349 139.99885608 7.50000000 
0.27150615 137.54304136 7.50000000 
0.24133880 135.08722664 7.50000000 
0.21117145 132.63141192 7.50000000 
0.18100411 130.17559720 7.50000000 
0.15083676 127.71978248 7.50000000 
0.12066941 125.26396776 7.50000000 
0.09050207 122.80815305 7.50000000 
0.06033472 120.35233833 7.50000000 
0.03016737 117.89652361 7.50000000 
0.00000002 115.44070889 7.50000000 
2.83573061 173.12622909 7.50000000 
2.11171430 171.90703029 7.50000000 
2.80556327 170.67041437 7.50000000 
2.08154695 169.45121557 7.50000000 
2.77539592 168.21459965 7.50000000 
2.05137960 166.99540085 7.50000000 
2.74522857 165.75878493 7.50000000 
2.02121225 164.53958613 7.50000000 
2.71506122 163.30297021 7.50000000 
1.99104491 162.08377142 7.50000000 
2.68489388 160.84715549 7.50000000 
1.96087756 159.62795670 7.50000000 
2.65472653 158.39134077 7.50000000 
1.93071021 157.17214198 7.50000000 
2.62455918 155.93552606 7.50000000 
1.90054287 154.71632726 7.50000000 
2.59439184 153.47971134 7.50000000 
1.87037552 152.26051254 7.50000000 
2.56422449 151.02389662 7.50000000 
1.84020817 149.80469782 7.50000000 
2.53405714 148.56808190 7.50000000 
1.81004082 147.34888310 7.50000000 
2.50388980 146.11226718 7.50000000 
1.77987348 144.89306839 7.50000000 
2.47372245 143.65645246 7.50000000 
1.74970613 142.43725367 7.50000000 
2.44355510 141.20063775 7.50000000 
1.71953878 139.98143895 7.50000000 
2.41338775 138.74482303 7.50000000 
1.68937144 137.52562423 7.50000000 
2.38322041 136.28900831 7.50000000 
1.65920409 135.06980951 7.50000000 
2.35305306 133.83319359 7.50000000 
1.62903674 132.61399479 7.50000000 
2.32288571 131.37737887 7.50000000 
1.59886940 130.15818008 7.50000000 
2.29271837 128.92156415 7.50000000 
1.56870205 127.70236536 7.50000000 
2.26255102 126.46574944 7.50000000 
1.53853470 125.24655064 7.50000000 
2.23238367 124.00993472 7.50000000 
1.50836735 122.79073592 7.50000000 
2.20221632 121.55412000 7.50000000 
1.47820001 120.33492120 7.50000000 
2.17204898 119.09830528 7.50000000 
1.44803266 117.87910648 7.50000000 
2.14188163 116.64249056 7.50000000 
1.41786531 115.42329177 7.50000000 
2.11171428 114.18667584 7.50000000 
1.38769797 112.96747705 7.50000000 
2.08154694 111.73086112 7.50000000 
1.35753062 110.51166233 7.50000000 
2.05137959 109.27504641 7.50000000 
1.32736327 108.05584761 7.50000000 
2.02121224 106.81923169 7.50000000 
1.29719592 105.60003289 7.50000000 
1.99104490 104.36341697 7.50000000 
1.26702858 103.14421817 7.50000000 
1.96087755 101.90760225 7.50000000 
1.23686123 100.68840345 7.50000000 
1.93071020 99.45178753 7.50000000 
1.20669388 98.23258874 7.50000000 
1.90054285 96.99597281 7.50000000 
1.17652654 95.77677402 7.50000000 
1.87037551 94.54015810 7.50000000 
1.14635919 93.32095930 7.50000000 
1.84020816 92.08434338 7.50000000 
1.11619184 90.86514458 7.50000000 
1.81004081 89.62852866 7.50000000 
1.08602449 88.40932986 7.50000000 
1.77987347 87.17271394 7.50000000 
1.05585715 85.95351514 7.50000000 
1.74970612 84.71689922 7.50000000 
1.02568980 83.49770043 7.50000000 
1.71953877 82.26108450 7.50000000 
0.99552245 81.04188571 7.50000000 
1.68937142 79.80526979 7.50000000 
0.96535511 78.58607099 7.50000000 
1.65920408 77.34945507 7.50000000 
0.93518776 76.13025627 7.50000000 
1.62903673 74.89364035 7.50000000 
0.90502041 73.67444155 7.50000000 
1.59886938 72.43782563 7.50000000 
0.87485307 71.21862683 7.50000000 
1.56870204 69.98201091 7.50000000 
0.84468572 68.76281212 7.50000000 
1.53853469 67.52619619 7.50000000 
0.81451837 66.30699740 7.50000000 
1.50836734 65.07038147 7.50000000 
0.78435102 63.85118268 7.50000000 
1.47819999 62.61456676 7.50000000 
0.75418368 61.39536796 7.50000000 
1.44803265 60.15875204 7.50000000 
0.72401633 58.93955324 7.50000000 
1.41786530 57.70293732 7.50000000 
0.69384898 56.48373852 7.50000000 
1.38769795 55.24712260 7.50000000 
0.66368164 54.02792381 7.50000000 
1.35753061 52.79130788 7.50000000 
0.63351429 51.57210909 7.50000000 
1.32736326 50.33549316 7.50000000 
0.60334694 49.11629437 7.50000000 
1.29719591 47.87967845 7.50000000 
0.57317959 46.66047965 7.50000000 
1.26702857 45.42386373 7.50000000 
0.54301225 44.20466493 7.50000000 
1.23686122 42.96804901 7.50000000 
0.51284490 41.74885021 7.50000000 
1.20669387 40.51223429 7.50000000 
0.48267755 39.29303549 7.50000000 
1.17652652 38.05641957 7.50000000 
0.45251021 36.83722078 7.50000000 
1.14635918 35.60060485 7.50000000 
0.42234286 34.38140606 7.50000000 
1.11619183 33.14479014 7.50000000 
0.39217551 31.92559134 7.50000000 
1.08602448 30.68897542 7.50000000 
0.36200816 29.46977662 7.50000000 
1.05585714 28.23316070 7.50000000 
0.33184082 27.01396190 7.50000000 
1.02568979 25.77734598 7.50000000 
0.30167347 24.55814718 7.50000000 
0.99552244 23.32153126 7.50000000 
0.27150612 22.10233247 7.50000000 
0.96535509 20.86571654 7.50000000 
0.24133878 19.64651775 7.50000000 
0.93518775 18.40990183 7.50000000 
0.21117143 17.19070303 7.50000000 
0.90502040 15.95408711 7.50000000 
0.18100408 14.73488831 7.50000000 
0.87485305 13.49827239 7.50000000 
0.15083674 12.27907359 7.50000000 
0.84468571 11.04245767 7.50000000 
0.12066939 9.82325887 7.50000000 
0.81451836 8.58664295 7.50000000 
0.09050204 7.36744416 7.50000000 
0.78435101 6.13082823 7.50000000 
0.06033469 4.91162944 7.50000000 
0.75418366 3.67501351 7.50000000 
0.03016735 2.45581472 7.50000000 
0.72401632 1.21919880 7.50000000 
0.00000000 0.00000000 7.50000000 
4.25359590 173.10881196 7.50000000 
4.94744487 171.87219604 7.50000000 
4.22342855 170.65299724 7.50000000 
4.91727753 169.41638132 7.50000000 
4.19326121 168.19718252 7.50000000 
4.88711018 166.96056660 7.50000000 
4.16309386 165.74136780 7.50000000 
4.85694283 164.50475188 7.50000000 
4.13292651 163.28555309 7.50000000 
4.82677548 162.04893716 7.50000000 
4.10275917 160.82973837 7.50000000 
4.79660814 159.59312244 7.50000000 
4.07259182 158.37392365 7.50000000 
4.76644079 157.13730773 7.50000000 
4.04242447 155.91810893 7.50000000 
4.73627344 154.68149301 7.50000000 
4.01225713 153.46229421 7.50000000 
4.70610610 152.22567829 7.50000000 
3.98208978 151.00647949 7.50000000 
4.67593875 149.76986357 7.50000000 
3.95192243 148.55066478 7.50000000 
4.64577140 147.31404885 7.50000000 
3.92175508 146.09485006 7.50000000 
4.61560406 144.85823413 7.50000000 
3.89158774 143.63903534 7.50000000 
4.58543671 142.40241942 7.50000000 
3.86142039 141.18322062 7.50000000 
4.55526936 139.94660470 7.50000000 
3.83125304 138.72740590 7.50000000 
4.52510201 137.49078998 7.50000000 
3.80108570 136.27159118 7.50000000 
4.49493467 135.03497526 7.50000000 
3.77091835 133.81577646 7.50000000 
4.46476732 132.57916054 7.50000000 
3.74075100 131.35996175 7.50000000 
4.43459997 130.12334582 7.50000000 
3.71058365 128.90414703 7.50000000 
4.40443263 127.66753111 7.50000000 
3.68041631 126.44833231 7.50000000 
4.37426528 125.21171639 7.50000000 
3.65024896 123.99251759 7.50000000 
4.34409793 122.75590167 7.50000000 
3.62008161 121.53670287 7.50000000 
4.31393058 120.30008695 7.50000000 
3.58991427 119.08088815 7.50000000 
4.28376324 117.84427223 7.50000000 
3.55974692 116.62507344 7.50000000 
4.25359589 115.38845751 7.50000000 
3.52957957 114.16925872 7.50000000 
4.22342854 112.93264280 7.50000000 
3.49941223 111.71344400 7.50000000 
4.19326120 110.47682808 7.50000000 
3.46924488 109.25762928 7.50000000 
4.16309385 108.02101336 7.50000000 
3.43907753 106.80181456 7.50000000 
4.13292650 105.56519864 7.50000000 
3.40891018 104.34599984 7.50000000 
4.10275915 103.10938392 7.50000000 
3.37874284 101.89018513 7.50000000 
4.07259181 100.65356920 7.50000000 
3.34857549 99.43437041 7.50000000 
4.04242446 98.19775448 7.50000000 
3.31840814 96.97855569 7.50000000 
4.01225711 95.74193977 7.50000000 
3.28824080 94.52274097 7.50000000 
3.98208977 93.28612505 7.50000000 
3.25807345 92.06692625 7.50000000 
3.95192242 90.83031033 7.50000000 
3.22790610 89.61111153 7.50000000 
3.92175507 88.37449561 7.50000000 
3.19773875 87.15529681 7.50000000 
3.89158773 85.91868089 7.50000000 
3.16757141 84.69948210 7.50000000 
3.86142038 83.46286617 7.50000000 
3.13740406 82.24366738 7.50000000 
3.83125303 81.00705146 7.50000000 
3.10723671 79.78785266 7.50000000 
3.80108568 78.55123674 7.50000000 
3.07706937 77.33203794 7.50000000 
3.77091834 76.09542202 7.50000000 
3.04690202 74.87622322 7.50000000 
3.74075099 73.63960730 7.50000000 
3.01673467 72.42040850 7.50000000 
3.71058364 71.18379258 7.50000000 
2.98656732 69.96459379 7.50000000 
3.68041630 68.72797786 7.50000000 
2.95639998 67.50877907 7.50000000 
3.65024895 66.27216315 7.50000000 
2.92623263 65.05296435 7.50000000 
3.62008160 63.81634843 7.50000000 
2.89606528 62.59714963 7.50000000 
3.58991425 61.36053371 7.50000000 
2.86589794 60.14133491 7.50000000 
3.55974691 58.90471899 7.50000000 
2.83573059 57.68552019 7.50000000 
3.52957956 56.44890427 7.50000000 
2.80556324 55.22970548 7.50000000 
3.49941221 53.99308955 7.50000000 
2.77539590 52.77389076 7.50000000 
3.46924487 51.53727483 7.50000000 
2.74522855 50.31807604 7.50000000 
3.43907752 49.08146012 7.50000000 
2.71506120 47.86226132 7.50000000 
3.40891017 46.62564540 7.50000000 
2.68489385 45.40644660 7.50000000 
3.37874282 44.16983068 7.50000000 
2.65472651 42.95063188 7.50000000 
3.34857548 41.71401596 7.50000000 
2.62455916 40.49481716 7.50000000 
3.31840813 39.25820124 7.50000000 
2.59439181 38.03900245 7.50000000 
3.28824078 36.80238652 7.50000000 
2.56422447 35.58318773 7.50000000 
3.25807344 34.34657181 7.50000000 
2.53405712 33.12737301 7.50000000 
3.22790609 31.89075709 7.50000000 
2.50388977 30.67155829 7.50000000 
3.19773874 29.43494237 7.50000000 
2.47372242 28.21574357 7.50000000 
3.16757140 26.97912765 7.50000000 
2.44355508 25.75992885 7.50000000 
3.13740405 24.52331293 7.50000000 
2.41338773 23.30411414 7.50000000 
3.10723670 22.06749821 7.50000000 
2.38322038 20.84829942 7.50000000 
3.07706935 19.61168350 7.50000000 
2.35305304 18.39248470 7.50000000 
3.04690201 17.15586878 7.50000000 
2.32288569 15.93666998 7.50000000 
3.01673466 14.70005406 7.50000000 
2.29271834 13.48085526 7.50000000 
2.98656731 12.24423934 7.50000000 
2.26255099 11.02504054 7.50000000 
2.95639997 9.78842462 7.50000000 
2.23238365 8.56922583 7.50000000 
2.92623262 7.33260990 7.50000000 
2.20221630 6.11341111 7.50000000 
2.89606527 4.87679518 7.50000000 
2.17204895 3.65759639 7.50000000 
2.86589792 2.42098047 7.50000000 
2.14188161 1.20178167 7.50000000 
7.08932648 173.07397771 7.50000000 
6.36531016 171.85477891 7.50000000 
7.05915913 170.61816299 7.50000000 
6.33514281 169.39896419 7.50000000 
7.02899179 168.16234827 7.50000000 
6.30497547 166.94314947 7.50000000 
6.99882444 165.70653355 7.50000000 
6.27480812 164.48733476 7.50000000 
6.96865709 163.25071883 7.50000000 
6.24464077 162.03152004 7.50000000 
6.93848974 160.79490412 7.50000000 
6.21447343 159.57570532 7.50000000 
6.90832240 158.33908940 7.50000000 
6.18430608 157.11989060 7.50000000 
6.87815505 155.88327468 7.50000000 
6.15413873 154.66407588 7.50000000 
6.84798770 153.42745996 7.50000000 
6.12397138 152.20826116 7.50000000 
6.81782036 150.97164524 7.50000000 
6.09380404 149.75244645 7.50000000 
6.78765301 148.51583052 7.50000000 
6.06363669 147.29663173 7.50000000 
6.75748566 146.06001580 7.50000000 
6.03346934 144.84081701 7.50000000 
6.72731831 143.60420109 7.50000000 
6.00330200 142.38500229 7.50000000 
6.69715097 141.14838637 7.50000000 
5.97313465 139.92918757 7.50000000 
6.66698362 138.69257165 7.50000000 
5.94296730 137.47337285 7.50000000 
6.63681627 136.23675693 7.50000000 
5.91279996 135.01755813 7.50000000 
6.60664893 133.78094221 7.50000000 
5.88263261 132.56174342 7.50000000 
6.57648158 131.32512749 7.50000000 
5.85246526 130.10592870 7.50000000 
6.54631423 128.86931278 7.50000000 
5.82229791 127.65011398 7.50000000 
6.51614689 126.41349806 7.50000000 
5.79213057 125.19429926 7.50000000 
6.48597954 123.95768334 7.50000000 
5.76196322 122.73848454 7.50000000 
6.45581219 121.50186862 7.50000000 
5.73179587 120.28266982 7.50000000 
6.42564484 119.04605390 7.50000000 
5.70162853 117.82685511 7.50000000 
6.39547750 116.59023918 7.50000000 
5.67146118 115.37104039 7.50000000 
6.36531015 114.13442447 7.50000000 
5.64129383 112.91522567 7.50000000 
6.33514280 111.67860975 7.50000000 
5.61112648 110.45941095 7.50000000 
6.30497546 109.22279503 7.50000000 
5.58095914 108.00359623 7.50000000 
6.27480811 106.76698031 7.50000000 
5.55079179 105.54778151 7.50000000 
6.24464076 104.31116559 7.50000000 
5.52062444 103.09196680 7.50000000 
6.21447341 101.85535087 7.50000000 
5.49045710 100.63615208 7.50000000 
6.18430607 99.39953615 7.50000000 
5.46028975 98.18033736 7.50000000 
6.15413872 96.94372144 7.50000000 
5.43012240 95.72452264 7.50000000 
6.12397137 94.48790672 7.50000000 
5.39995506 93.26870792 7.50000000 
6.09380403 92.03209200 7.50000000 
5.36978771 90.81289320 7.50000000 
6.06363668 89.57627728 7.50000000 
5.33962036 88.35707848 7.50000000 
6.03346933 87.12046256 7.50000000 
5.30945301 85.90126377 7.50000000 
6.00330198 84.66464784 7.50000000 
5.27928567 83.44544905 7.50000000 
5.97313464 82.20883313 7.50000000 
5.24911832 80.98963433 7.50000000 
5.94296729 79.75301841 7.50000000 
5.21895097 78.53381961 7.50000000 
5.91279994 77.29720369 7.50000000 
5.18878363 76.07800489 7.50000000 
5.88263260 74.84138897 7.50000000 
5.15861628 73.62219017 7.50000000 
5.85246525 72.38557425 7.50000000 
5.12844893 71.16637546 7.50000000 
5.82229790 69.92975953 7.50000000 
5.09828158 68.71056074 7.50000000 
5.79213056 67.47394482 7.50000000 
5.06811424 66.25474602 7.50000000 
5.76196321 65.01813010 7.50000000 
5.03794689 63.79893130 7.50000000 
5.73179586 62.56231538 7.50000000 
5.00777954 61.34311658 7.50000000 
5.70162851 60.10650066 7.50000000 
4.97761220 58.88730186 7.50000000 
5.67146117 57.65068594 7.50000000 
4.94744485 56.43148715 7.50000000 
5.64129382 55.19487122 7.50000000 
4.91727750 53.97567243 7.50000000 
5.61112647 52.73905651 7.50000000 
4.88711015 51.51985771 7.50000000 
5.58095913 50.28324179 7.50000000 
4.85694281 49.06404299 7.50000000 
5.55079178 47.82742707 7.50000000 
4.82677546 46.60822827 7.50000000 
5.52062443 45.37161235 7.50000000 
4.79660811 44.15241355 7.50000000 
5.49045708 42.91579763 7.50000000 
4.76644077 41.69659884 7.50000000 
5.46028974 40.45998291 7.50000000 
4.73627342 39.24078412 7.50000000 
5.43012239 38.00416819 7.50000000 
4.70610607 36.78496940 7.50000000 
5.39995504 35.54835348 7.50000000 
4.67593873 34.32915468 7.50000000 
5.36978770 33.09253876 7.50000000 
4.64577138 31.87333996 7.50000000 
5.33962035 30.63672404 7.50000000 
4.61560403 29.41752524 7.50000000 
5.30945300 28.18090932 7.50000000 
4.58543668 26.96171052 7.50000000 
5.27928565 25.72509460 7.50000000 
4.55526934 24.50589581 7.50000000 
5.24911831 23.26927988 7.50000000 
4.52510199 22.05008109 7.50000000 
5.21895096 20.81346517 7.50000000 
4.49493464 19.59426637 7.50000000 
5.18878361 18.35765045 7.50000000 
4.46476730 17.13845165 7.50000000 
5.15861627 15.90183573 7.50000000 
4.43459995 14.68263693 7.50000000 
5.12844892 13.44602101 7.50000000 
4.40443260 12.22682221 7.50000000 
5.09828157 10.99020629 7.50000000 
4.37426525 9.77100750 7.50000000 
